Fecha,Sem ISO,Tipo,Bomba / Grupo,Objetivo,Producto,Dosis/25L o /tanque,Función,Destino (bloques/criterio),Operario
2026-07-03,27,Foliar,Choque Botrytis+Oidio,Curativo,Neofat,12 cc,Surfactante,"Lisianthus 3B/3C/Mini, Statice 4A/4C, Cresta 3A/4B, Dahlias 2",Wilson
2026-07-03,27,Foliar,Choque Botrytis+Oidio,Curativo,Equifun,100 cc,Fungicida/silicio,idem,Wilson
2026-07-03,27,Foliar,Choque Botrytis+Oidio,Curativo,Hevea brasiliensis beta,50 cc,Fungicida botrytis+mildeo,idem,Wilson
2026-07-03,27,Foliar,Choque Botrytis+Oidio,Curativo,Glukoplant Ca-BZn,37.5 cc,Nutricional/Ca,idem,Wilson
2026-07-03,27,Foliar,Choque Botrytis+Oidio,Curativo,ADNGard,12.5 g,Pared celular,idem,Wilson
2026-07-04,27,Foliar,Prefloración+Floración,Preventivo,Glukoplant Ca-BZn,37.5 cc,Nutricional/Ca,"5-6+ sem, todos los inv + jardín + ext",—
2026-07-04,27,Foliar,Prefloración+Floración,Preventivo,Starzyme,25 cc,Bioestimulante,idem,—
2026-07-04,27,Foliar,Prefloración+Floración,Preventivo,Regalia,25 cc,Fungicida/inductor,idem,—
2026-07-04,27,Foliar,Prefloración+Floración,Preventivo,Solar,50 cc,Fungicida biológico botrytis,idem,—
2026-07-04,27,Foliar,Prefloración+Floración,Preventivo,No Fly,10 g,Insecticida mosca blanca,idem,—
2026-07-04,27,Foliar,Prefloración+Floración,Preventivo,Neofat,12 cc,Surfactante,idem,—
2026-07-05,27,Foliar,Vegetativo,Preventivo,Naturmix-L,12.5 cc,Micronutrientes,"<6 sem, inv 2/3/4/5 + ext",—
2026-07-05,27,Foliar,Vegetativo,Preventivo,Equifun,100 cc,Fungicida/silicio,idem,—
2026-07-05,27,Foliar,Vegetativo,Preventivo,Amicos MC,25 cc,Fungicida biológico,idem,—
2026-07-05,27,Foliar,Vegetativo,Preventivo,ADN Green,25 cc,Insecticida trips,idem,—
2026-07-05,27,Foliar,Vegetativo,Preventivo,Neofat,12 cc,Surfactante,idem,—
