bloque,alias_registro,huecos_largo,lineas,dist_hueco_m,ancho_cama_m,area_cama_m2,n_camas,area_bloque_m2,confianza,fuente,notas
Inv 3A,3A,198,8,0.15,1.2,35.64,11,392.04,DERIVADO,derivado del cruce de zona 2026-09-10,"Area por cama MEDIDA (35.64, coincide con la documentada 35.6). n_camas ya NO es SIN_DATO: se DERIVA del cruce de zona. 01-invernaderos.md dice que Inv3A+Inv3C suman 556 m2; con Inv 3C cerrado en 163.8 m2 quedan 392.2 para 3A, que son 11.004 camas de 35.64 — entero. Ninguna otra hipotesis de 3C daba entero. 11 x 35.64 + 163.8 = 555.84 contra 556 (0.03% de error). Es DERIVADO, no medido: depende de que el 556 de la zona sea correcto. CONFIRMAR contando las camas en campo"
Inv 3B grande,3B,267,8,0.15,1.2,48.06,9,432.54,DERIVADO,derivado del cruce de zona 2026-09-10,"n_camas DERIVADO del cruce de zona 2026-09-10, no contado en campo. 01-invernaderos.md da Inv3B+Inv5+Mini = 949 m2; restando Inv 5 (411.84, 13 camas MEDIDO) y Mini (50.40 + 18.90) quedan 467.86 para Inv 3B. Con las 3 camas pequenas que ya documenta la linea 112 ('267 huecos x 8 lineas + 3 camas de 65h'), las grandes salen 9.005 — entero. 9 x 48.06 + 3 x 11.70 = 467.64 contra 467.86, 0.05%% de error. CONFIRMAR contando las camas."
Inv 3B pequena,3B,65,8,0.15,1.2,11.70,3,35.10,DERIVADO,01-invernaderos.md linea 112 + cruce de zona 2026-09-10,"Las 3 camas ya las documentaba 01-invernaderos.md linea 112. n_camas DERIVADO del cruce de zona 2026-09-10, no contado en campo. 01-invernaderos.md da Inv3B+Inv5+Mini = 949 m2; restando Inv 5 (411.84, 13 camas MEDIDO) y Mini (50.40 + 18.90) quedan 467.86 para Inv 3B. Con las 3 camas pequenas que ya documenta la linea 112 ('267 huecos x 8 lineas + 3 camas de 65h'), las grandes salen 9.005 — entero. 9 x 48.06 + 3 x 11.70 = 467.64 contra 467.86, 0.05%% de error. CONFIRMAR contando las camas."
Inv 3C-A seccion larga,3C,140,8,0.15,1.2,25.20,5,126.00,MEDIDO,Vanessa 2026-09-10 + capacidad_bloques.csv + 01-invernaderos.md,"Seccion A, las camas LARGAS: 5 camas de 140 huecos. Vanessa corrigio en la misma sesion: ""son 5 camas tienes razon"". Confirma lo que ya decian las dos fuentes. El 90 que capacidad_bloques.csv tenia suelto no era de esta seccion ni de la corta. CERRADO por triple coincidencia: el cruce de zona solo da un numero entero de camas para 3A con esta hipotesis (11.004); con 5x90 da 12.27 y con 4x90 da 12.72. capacidad_bloques.csv decia 141 huecos (25.38 m2): la diferencia con 140 es 0.9 m2 y el cruce de zona favorece 140"
Inv 3C-B seccion corta,3C,70,8,0.15,1.2,12.60,3,37.80,CONFIRMADO,Vanessa 2026-09-10,"Seccion B, las camas CORTAS: 3 camas de 70 huecos. Vanessa 2026-09-10: ""una seccion B que tiene tres camas cortas que tienen setenta huecos"". CERRO el conflicto que estaba abierto: confirma los 12.6 m2 de 01-invernaderos.md y descarta los 90 huecos que capacidad_bloques.csv le tenia asignados"
Inv 4A,4A,112,8,0.15,1.2,20.16,14,282.24,MEDIDO,capacidad_bloques.csv + 01-invernaderos.md,14 camas lado A. Corredor central
Inv 4B,4B,112,8,0.15,1.2,20.16,14,282.24,MEDIDO,capacidad_bloques.csv + 01-invernaderos.md,14 camas lado B
Inv 4C larga,4C,225,8,0.15,1.2,40.50,1,40.50,MEDIDO,capacidad_bloques.csv,Cama baja larga. 4C = una cama de 4A y una de 4B juntas (Vanessa 2026-08-13)
Inv 4C media,4C,212,8,0.15,1.2,38.16,1,38.16,MEDIDO,capacidad_bloques.csv,Cama baja larga
Inv 4C corta,4C,200,8,0.15,1.2,36.00,1,36.00,APROX,capacidad_bloques.csv vs 01-invernaderos.md,capacidad_bloques dice 200 huecos; 01-invernaderos.md dice ~190. Diferencia 5%. Se toma 200 y se marca APROX
