bomba_id,nombre,objetivo,producto,dosis_25L,unidad,vigencia_desde,vigencia_hasta,fuente,notas
VEG,Vegetativo,< 6 semanas,Naturmix-L,12.5,cc,2026-07-03,,03-fitosanidad/01-reglas-y-protocolos.md,
VEG,Vegetativo,< 6 semanas,Equifun,100,cc,2026-07-03,,03-fitosanidad/01-reglas-y-protocolos.md,
VEG,Vegetativo,< 6 semanas,Amicos MC,25,cc,2026-07-03,,03-fitosanidad/01-reglas-y-protocolos.md,
VEG,Vegetativo,< 6 semanas,ADN Green,25,cc,2026-07-03,,03-fitosanidad/01-reglas-y-protocolos.md,
VEG,Vegetativo,< 6 semanas,Neofat,12,cc,2026-07-03,,03-fitosanidad/01-reglas-y-protocolos.md,
PREFLOR,Prefloracion + Floracion,5-6+ semanas,Glukoplant Ca-BZn,37.5,cc,2026-07-03,,03-fitosanidad/01-reglas-y-protocolos.md,
PREFLOR,Prefloracion + Floracion,5-6+ semanas,Starzyme,25,cc,2026-07-03,,03-fitosanidad/01-reglas-y-protocolos.md,
PREFLOR,Prefloracion + Floracion,5-6+ semanas,Regalia,25,cc,2026-07-03,,03-fitosanidad/01-reglas-y-protocolos.md,
PREFLOR,Prefloracion + Floracion,5-6+ semanas,Solar,50,cc,2026-07-03,,03-fitosanidad/01-reglas-y-protocolos.md,
PREFLOR,Prefloracion + Floracion,5-6+ semanas,No Fly,10,g,2026-07-03,,03-fitosanidad/01-reglas-y-protocolos.md,
PREFLOR,Prefloracion + Floracion,5-6+ semanas,Neofat,12,cc,2026-07-03,,03-fitosanidad/01-reglas-y-protocolos.md,
CHOQUE-BO,Choque Botrytis+Oidio,"curativo, focos activos",Equifun,100,cc,2026-07-03,,03-fitosanidad/01-reglas-y-protocolos.md,
CHOQUE-BO,Choque Botrytis+Oidio,"curativo, focos activos",Hevea brasiliensis beta,50,cc,2026-07-03,,03-fitosanidad/01-reglas-y-protocolos.md,
CHOQUE-BO,Choque Botrytis+Oidio,"curativo, focos activos",Glukoplant Ca-BZn,37.5,cc,2026-07-03,,03-fitosanidad/01-reglas-y-protocolos.md,
CHOQUE-BO,Choque Botrytis+Oidio,"curativo, focos activos",ADNGard,12.5,g,2026-07-03,,03-fitosanidad/01-reglas-y-protocolos.md,
CHOQUE-BO,Choque Botrytis+Oidio,"curativo, focos activos",Neofat,12,cc,2026-07-03,,03-fitosanidad/01-reglas-y-protocolos.md,
DRENCH-CHIZA,Drench chiza (Metarhizium),"Chiza — larva de coleoptero, dano radicular",Metarhizium anisopliae DSM15168,SIN FICHA PARA DRENCH,,2026-09-16,,"Vanessa 2026-09-21 (dictado) — producto Deep Green o Anisagro, ambos con la cepa DSM15168","DOSIS DE CAMPO, NO DE FICHA: 2 L para 4-5 camas, dictada por Vanessa. La unica dosis documentada de esta cepa en el repo es FOLIAR (0,7-1 cc/L) y para arrieras con cebo de avena — NO es la dosis de drench, asi que no se puede derivar. 1a aplicacion 2026-09-16 (sem 38), 2a prevista sem 39. PEDIR LA FICHA de Deep Green/Anisagro para dejar la dosis de drench por m2."
