,PROVEEDOR,Variedad,Color,Cantidad recibida,Cantidad Trasplantada,Fecha siembra campo,Semana,Bloque sembrado,Inicio cosecha,Semana,Fin de cosecha,COMENTARIOS,Nombre Homologados,Tallos vendidos,Fecha Homologada,Estado,,Ventas WIX,Utilidad,Ventas por tallos calculados MG
,Ball Colombia,Dusty Miller Serrada,Plateado azulado · hoja aserrada,,,30/07,31,3C,DIC,46,,51,Silver Dust,,,Cerrada,,,,
,Tecniplantas,Snapdragon MB Bronze,Coral durazno,4271,,05/08,32,2 Y 3AYB,NOV,44,,,MB Cherry Bronze,,,Cerrada,,,,
,Ball Colombia,Limonium Senzii White Ball,Blanco,70,,05/08,32,4A,NOV,42,,En semana 7 tallos muy debiles no vale la pena,Statice White,,,Cerrada,,,,
,Tecniplantas,Snapdragon MB Ivory,Blanco azalea,2537,,06/08,32,3B,NOV,44,,,MB Ivory,,,Cerrada,,,,
,Tecniplantas,Snapdragon Cannes Velvet Red,Rojo carmesí,2200,,06/08,32,3B,NOV,44,27,Fin cosecha sem27. Casi toda la cama sacada por demasiada deformidad en la flor.,Cannes Red Delight,,,Cerrada,,,,
,Tecniplantas,Celosia Sunday Pink,Rosa candy,1626,,08/08,32,4A,OCTUBRE,45,,,Sunday Light Pink,,,Cerrada,,,,
,Dummen Orange,Limonium Dummen Orange,Salmón · durazno,,,08/08,32,4A,Noviembre,42,,En semana 7 tallos muy debiles no vale la pena,Statice Apricot,,,Cerrada,,,,
,Dummen Orange,Barbatus Dummen Orange,,,,08/08,32,4A,Noviembre,42,,En semana 7 tallos muy debiles no vale la pena,,,,Cerrada,,,,
,Tecniplantas,Celosia Sunday Dark Pink,Rosado cereza oscuro,1543,,12/08,33,4A,OCTUBRE,46,,,Sunday Dark Pink,,,Cerrada,,,,
,Tecniplantas,Celosia Sunday Bright Pink,Rosa candy,1198,,12/08,33,4A,OCTUBRE,46,,,Sunday Light Pink,,,Cerrada,,,,
,Tecniplantas,Celosia Cristata Evanthia,Vino tinto,1178,,16/08,33,5,NOVIEMBRE,46,,,Cristata Indian Summer,,,Cerrada,,,,
,Tecniplantas,Celosia Celway Red,Cereza,2139,,12/08,33,3C,NOVIEMBRE,46,,,Celway Red,,,Cerrada,,,,
,Tecniplantas,Celosia Celway Salmon,Salmón,2356,,12/08,34,5,NOVIEMBRE,48,,,Celway Salmon,,,Cerrada,,,,
,Tecniplantas,Celosia Dream Mix,Mix pastel · verde · coral · salmón,465,,19/08,34,5,NOVIEMBRE,28,,Sem28 flores maduras. Arranca cosecha.,Dreams Mix,,,Cerrada,,,,
,Tecniplantas,Daucus Carota Purple Kisses,Rosa pálido · lavanda · morado suave,2404,,18/08,34,4 ext,ENERO,2,,,Ammi Dara,,,Cerrada,,,,
,Ball,Trachellium White Lake Michigan,Blanco encaje,1900,,19/08,34,3B,DICIEMBRE,,,5 | Sem28 aún no ha florecido. Inicio cosecha pendiente de confirmar.,Trachelium White,,,Cerrada,,,,
,Tecniplantas,Gomphrena Rose Bicolor,Lila con blanco,1628,,20/08,34,5,DICIEMBRE,51,,3,Bicolor Rose,,,Cerrada,,,,
,Tecniplantas,Ammi Majus,Blanco · verde suave,822,,21/08,34,6,DICIEMBRE,51,,,Ammi Majus,,,Cerrada,,,,
,Tecniplantas,Celosia Flamingo Feather,Morado fucsia,,,21/08,34,2,DICIEMBRE,49,,,Flamingo Purple,,,Cerrada,,,,
