variedad,bloque,semana_cierre,motivo,evidencia_literal,fuente
Strawflower,2,16,espacio,en 16 las voy a sacar pero no por produccion sino por espacio,campo_siembras.csv COMENTARIOS
Ammobium Alatum,2,15,espacio,"tuvimos segunda floracion en semana 13,14,15 ahi las saque porque necesitaba el espacio",campo_siembras.csv COMENTARIOS
Anemonas,3C,16,espacio,"Aun sigue produciendo, las trasplante en semana 16 por el espacio",campo_siembras.csv COMENTARIOS
Zinnia Aurora,5,24,espacio,las sacamos en semana 24 para sembrar dusty. aun estaban produciendo!,campo_siembras.csv COMENTARIOS
Celosias Asian Garden,2,16,rotacion,Estan desde la 15 pero esperando salir de las dreams primero,campo_siembras.csv COMENTARIOS
Celosias Indian Summer,4,19,demanda,"hubiesemos podido extender y engordar hasta la 20, pero los usamos en madres",campo_siembras.csv COMENTARIOS
Gomphrenas Quis Pink,4A,19,demanda,LAS USAMOS TODAS EN MADRES y se quedaron cortas en cantidad obviamente,campo_siembras.csv COMENTARIOS
Gomphrena Quis Carmine,3A bajas,19,demanda,aun no esta en su punto pero por madres sacamos lo que pudimos,campo_siembras.csv COMENTARIOS
Brianthus Hilverda,3A,19,demanda,"No los saco esperando por madres, En madres sem 19 sacamos lo que pudimos pero ya eran tallos mas delgados y cortos",campo_siembras.csv COMENTARIOS
Carthamus Zanzibar,4B,19,demanda,"estamos estirando la cosecha por madres, pero lo ideal seria pelar ya esta semana",campo_siembras.csv COMENTARIOS
Celosias Dreams,4B,18,demanda,"excelente semana 15 ya en 16 podriamos pelar, lo sacamos en la 18",campo_siembras.csv COMENTARIOS
Matricaria Vegmo Single,3C,8,sanitario,Sacrificada por mosca blanca. Fin cosecha anticipado,campo_siembras.csv COMENTARIOS
Matricarias,5,,sanitario,"Las sacamos, les dio mosca blanca y no florecieron",campo_siembras.csv COMENTARIOS
Statice Forever Silver,5,20,sanitario,en semana 20 la voy a sacar porque tiene muchos hongos,campo_siembras.csv COMENTARIOS
Statice Forever Silver y Quis Apricot,5,24,sanitario,"ya en sem 24 son un cementerio, las vamos a sacar",campo_siembras.csv COMENTARIOS
Limonium Forever Happy,4AB,25,sanitario,Colapso productivo confirmado. Pudricion cuello activa. Las voy a tener que sacar,campo_siembras.csv COMENTARIOS
Snapdragon Cannes Velvet Red,3B,27,calidad,Casi toda la cama sacada por demasiada deformidad en la flor,campo_siembras.csv COMENTARIOS
Campanula Champion Lavender,3A,27,calidad,Sacrificada sem27 por problemas de florero al final de la ventana,campo_siembras.csv COMENTARIOS
Campanula Lavender,5,27,calidad,Sacrificada sem27 por problemas de florero al final de la ventana,campo_siembras.csv COMENTARIOS
Daucus Carota Purple Kisses,3 ext,,perdida_total,No tenia plastico y se emalezo sin floracion. Perdida,campo_siembras.csv COMENTARIOS
Limonium Pink Pokers,2,,perdida_total,Todas las plantas del 2 se perdieron,campo_siembras.csv COMENTARIOS
Celosias Lavly,?,,perdida_total,PERDIDA INDUCCION FLORAL,campo_siembras.csv COMENTARIOS
Dill bouquet,3 ext,,perdida_total,Nunca salio no se que paso,campo_siembras.csv COMENTARIOS
Snapdragon Potomac Early Orange,4B,,perdida_parcial,"Salieron muy mal con espacios entre las flores, cosecha casi perdida",campo_siembras.csv COMENTARIOS
Snapdragon Monaco Plumblossom,5,,perdida_parcial,PERDIDA >50%. Desyerbe tardio + malla tarde = tallos torcidos irrecuperables,campo_siembras.csv COMENTARIOS
Campanula Champion White,3A,28,agotamiento,Fin cosecha sem28. Quedan muy pocas flores,campo_siembras.csv COMENTARIOS
Campanula Blanca,5,28,agotamiento,Fin cosecha sem28. Quedan muy pocas flores,campo_siembras.csv COMENTARIOS
Snapdragon Potomac Early White,3A,11,agotamiento,"Empezaron en semana 8, terminaron en semana 11",campo_siembras.csv COMENTARIOS
Campanula Champion White,3C,24,agotamiento,Ya ultimos tallos en sem 24 pero ha sido una buena cosecha,campo_siembras.csv COMENTARIOS
Snapdragon Monaco Orange,4A,28,tardio,Cama sacada sem28. Ideal hubiese sido sacarla en sem27,campo_siembras.csv COMENTARIOS
Ammi Majus + Ammobium,4EXT,27,temprano,"Fin cosecha sem27. Flores de menor calidad, algunas en el piso. Hubiesen aguantado 1 sem mas",campo_siembras.csv COMENTARIOS
Ammobium Winged Everlasting,3 EXT,27,temprano,Fin cosecha sem27. Hubiesen aguantado 1 sem mas,campo_siembras.csv COMENTARIOS
Ammobium Alatum,3A,27,temprano,Fin cosecha sem27. Flores de menor calidad. Hubiesen aguantado 1 sem mas,campo_siembras.csv COMENTARIOS
Gomphrena Sequin,3A bajas,27,temprano,Sem27 aun habia flores pero maleza adelantada. Hubiesen aguantado 1 sem mas de menor calidad,campo_siembras.csv COMENTARIOS
Amaranto Green Tails,5,28,tardio,Sem28 algunos maduros. Ideal hubiese sido sem27,campo_siembras.csv COMENTARIOS
Amaranto Emerald Tails,3A,28,tardio,Sem28 algunos maduros. Ideal hubiese sido sem27,campo_siembras.csv COMENTARIOS
Celosias 3A serie Floret + Shimmer,3A,36,agotamiento,"Todas las del 3A ya estan pasadas, ya estan listas para sacarse",Vanessa - brain dump 2026-09-03
Celosia Floret rojas y ultimas rosadas,3A,37,agotamiento,"Las ultimas que quedan de Floret, las rojas y las ultimas rosadas, la semana que viene ya se acaban",Vanessa - brain dump 2026-09-03
Celosia cristata,3A,37,temprano,Adelanto de ciclo por problema de luz. No aguantan para Amor y Amistad. Terminan cosecha finalizando la semana que viene,Vanessa - brain dump 2026-09-03
Celosia cristata,4A alta,37,temprano,Adelanto de ciclo por problema de luz. No aguantan para Amor y Amistad. Terminan cosecha finalizando la semana que viene,Vanessa - brain dump 2026-09-03
Bunny Tails,2,37,agotamiento,Las colitas de conejo les quedaria tambien una semana mas,Vanessa - brain dump 2026-09-03
Statice White,4B+4C,36,agotamiento,Sacamos todo el Statice blanco,Vanessa - brain dump 2026-09-03
Trachelium White Lake,MINI,36,agotamiento,"El del mini practicamente ya salio todo, quedan muy poquitos",Vanessa - brain dump 2026-09-03
