Grupo,Variedad / Serie,Bloque,Tallos frescos,Tallos secos,Total tallos,# Registros,Primera cosecha,Última cosecha
Amaranto,Emerald Tails,Inv5,858,0,858,9,2026-07-06,2026-08-02
Amaranto,Love Lies Bleeding,Inv 3A,558,0,558,11,2026-06-08,2026-06-29
Amaranto,Emerald Tails,Inv 3A,380,0,380,3,2026-06-04,2026-06-05
Amaranto,Mix,Inv 3A,134,0,134,2,2026-05-31,2026-06-01
Amaranto,Emerald Tails,5,130,0,130,2,2026-08-04,2026-08-05
Amaranto,Velvet Curtains,Inv 6,80,0,80,3,2026-06-08,2026-06-19
Amaranto,Emerald Tails,2,15,0,15,1,2026-08-10,2026-08-10
Amaranto velvet,Mix,Inv 6,23,0,23,1,2026-06-04,2026-06-04
Ammi,Ammi Majus,Inv 6,1703,0,1703,29,2026-06-01,2026-07-30
Ammi,Ammi Majus,Inv4,450,0,450,8,2026-07-21,2026-07-31
Ammi,Ammi Majus,ext4,309,0,309,7,2026-08-03,2026-08-10
Ammi,Ammi Majus,Inv 5,50,0,50,1,2026-06-02,2026-06-02
Ammi,Ammi Majus,Inv4a,50,0,50,1,2026-07-15,2026-07-15
Ammobium,Ammobium Alatum,Inv 3A,1063,0,1063,13,2026-06-08,2026-06-26
Ammobium,Ammobium Alatum,ext3b,800,0,800,8,2026-08-04,2026-08-14
Ammobium,Ammobium Alatum,Exterior,257,0,257,4,2026-05-31,2026-06-03
Ammobium,Ammobium Alatum,Inv3,230,0,230,2,2026-07-30,2026-07-31
Ammobium,Ammobium Alatum,3b,100,0,100,1,2026-08-06,2026-08-06
Ammobium,Ammobium Alatum,Inv 6,100,0,100,1,2026-06-10,2026-06-10
Ammobium,Ammobium Alatum,Inv4a,50,0,50,1,2026-07-15,2026-07-15
Ammobium,Ammobium Alatum,Inv 4B,32,0,32,1,2026-06-29,2026-06-29
Boca de Dragón,Cannes Red,Inv4a,1769,0,1769,16,2026-06-08,2026-08-03
Boca de Dragón,Cannes Light Bronze,Inv3c,1360,0,1360,12,2026-07-09,2026-07-30
Boca de Dragón,Monaco Orange,Inv 4A,1257,0,1257,18,2026-05-31,2026-07-06
Boca de Dragón,Potomac Crimson,Inv 4A,922,0,922,10,2026-06-10,2026-06-25
Boca de Dragón,Cannes Pink,Inv 4C,853,0,853,11,2026-06-18,2026-07-12
Boca de Dragón,Monaco Plumblossom,Inv 5,790,0,790,12,2026-06-09,2026-07-12
Boca de Dragón,Opus Fresh,Inv 4A,688,0,688,9,2026-06-04,2026-06-24
Boca de Dragón,Cannes Light Bronze,Inv4b,510,0,510,5,2026-07-21,2026-07-28
Boca de Dragón,Cannes Lavender,Inv4c,450,0,450,7,2026-06-28,2026-07-19
Boca de Dragón,Potomac Crimson,Inv 4B,335,0,335,3,2026-06-01,2026-06-04
Boca de Dragón,Mix,3b,305,0,305,2,2026-08-09,2026-08-10
Boca de Dragón,Opus Appleblossom,3c,300,0,300,1,2026-08-13,2026-08-13
Boca de Dragón,Cannes Pink,Inv 4B,300,0,300,3,2026-06-01,2026-06-25
Boca de Dragón,Monaco Orange,Inv 4B,294,0,294,3,2026-06-01,2026-06-02
Boca de Dragón,Monaco Dark Pink,Inv 4B,282,0,282,3,2026-06-01,2026-06-04
Boca de Dragón,Opus Pink,3b,280,0,280,4,2026-08-05,2026-08-07
Boca de Dragón,Mix,3a+3b+3c,250,0,250,1,2026-08-12,2026-08-12
Boca de Dragón,Monaco Dark Pink,Inv 4A,247,0,247,5,2026-05-31,2026-06-09
Boca de Dragón,Mix,3b+3c,230,0,230,1,2026-08-11,2026-08-11
Boca de Dragón,Opus Appleblossom,3b,160,0,160,2,2026-08-05,2026-08-06
Boca de Dragón,Monaco Orange,Inv 3B,141,0,141,1,2026-06-09,2026-06-09
Boca de Dragón,Opus Fresh,Inv 4B,140,0,140,2,2026-06-01,2026-06-09
Boca de Dragón,Cannes Red,Inv 3C,115,0,115,2,2026-06-24,2026-06-26
Boca de Dragón,Cannes Red,Inv 4B,100,0,100,1,2026-06-23,2026-06-23
Boca de Dragón,Cannes Lavender,Inv3c,100,0,100,1,2026-07-16,2026-07-16
Boca de Dragón,Opus Appleblossom,Inv5,100,0,100,1,2026-07-07,2026-07-07
Boca de Dragón,Potomac Crimson,Inv 5,68,0,68,3,2026-06-24,2026-06-28
Boca de Dragón,Cannes Red,4a,60,0,60,1,2026-08-04,2026-08-04
Boca de Dragón,Mix,Inv 4B,53,0,53,1,2026-05-31,2026-05-31
Boca de Dragón,Potomac Appleblossom,Inv 4B,50,0,50,1,2026-06-01,2026-06-01
Boca de Dragón,Cannes Pink,Inv3c,50,0,50,1,2026-07-05,2026-07-05
Boca de Dragón,Cannes Lavender,Inv4b,50,0,50,1,2026-07-05,2026-07-05
Boca de Dragón,Potomac Royal,Inv5,30,0,30,1,2026-07-05,2026-07-05
Boca de Dragón,Monaco Dark Pink,Inv5,23,0,23,1,2026-07-27,2026-07-27
Boca de Dragón,Monaco Red,Inv 3C,15,0,15,1,2026-06-25,2026-06-25
Boca de Dragón,Opus Pink,Inv 4B,13,0,13,1,2026-06-16,2026-06-16
Boca de Dragón,Opus Pink,Inv 4A,12,0,12,1,2026-06-14,2026-06-14
Boca de Dragón,Monaco Orange,Invt,7,0,7,1,2026-06-18,2026-06-18
Campanula,Champion White,Inv 3B,1490,0,1490,28,2026-06-04,2026-07-15
Campanula,Champion Lavender,Inv 3B,1231,0,1231,14,2026-06-16,2026-07-03
Campanula,Mix,Inv 5,359,0,359,5,2026-05-31,2026-06-02
Campanula,Champion Pink,Inv 3B,287,0,287,13,2026-06-04,2026-06-22
Campanula,Champion Lavender,5,110,0,110,2,2026-08-13,2026-08-14
