fecha,tipo,variedad,bloque,semana_siembra,dice_el_v8,debe_decir,motivo
2026-09-03,ventana,Snapdragon Opus White Fresh,3A,27,Inicio cosecha semana 37,Inicio cosecha semana 36,"Vanessa: arrancaron en la 36, no en la 37"
2026-09-03,ventana,Snapdragon Opus Appleblossom,4A,27,Inicio cosecha semana 37,Inicio cosecha semana 36,"Vanessa: arrancaron en la 36, no en la 37"
2026-09-03,ventana,Campanula Champion Pink,4C,25,Inicio cosecha semana 37,Inicio cosecha semana 36,"Vanessa: empezando a cosechar en la 36, pico en la 37"
2026-09-03,cierre,Limonium Bubblegum Wings,4A,28,Activa,Sacar - falla hidrica,Se quedaron enanos por falla hidrica. Causa confirmada por Vanessa
2026-09-03,cierre,Limonium Fantasia Wings,4A,28,Activa,Sacar - falla hidrica,Se quedaron enanos por falla hidrica. Causa confirmada por Vanessa
2026-09-03,cierre,Limonium Pretty Wings,4A,28,Activa,Sacar - falla hidrica,Se quedaron enanos por falla hidrica. Causa confirmada por Vanessa
2026-09-03,homologado,Carthamus Zanzibar,4A,25,N='Dianthus Sweet Cherry',N=PENDIENTE,Un Carthamus no es un Dianthus. Arrastre de celda. Falta decidir el homologado
2026-09-03,homologado,Limonium Pretty Wings,4A,28,N='Girasol White Lite',N=PENDIENTE,Arrastre de celda
2026-09-03,homologado,Limonium Anouchka Diamond,2,28,N='Dusty New Look',N=PENDIENTE,Arrastre de celda
2026-09-03,homologado,Limonium Divine Diamond,2,28,N='Dianthus Sweet Cherry',N=PENDIENTE,Arrastre de celda
2026-09-03,homologado,Limonium Tiffany Diamond,2,28,N='Campanula White',N=PENDIENTE,Arrastre de celda
2026-09-03,homologado,Limonium Bubblegum Wings,4A,28,N='Opus Appleblossom',N=PENDIENTE,Arrastre de celda
2026-09-03,homologado,Limonium Fantasia Wings,4A,28,N='Opus Fresh',N=PENDIENTE,Arrastre de celda
2026-09-03,homologado,Limonium Max Diamond,2,28,N='Forever Silver',N=PENDIENTE,Arrastre de celda
2026-09-03,siembra_no_registrada,Celosia Autumn Blaze,?,?,(no existe en CAMPO),AGREGAR,"Vanessa la reporta en campo. Faltan semana, bloque, cantidad y nombre homologado"
2026-09-03,siembra_no_registrada,Celosia Sangria,?,?,(no existe en CAMPO),AGREGAR,"Vanessa la reporta en campo. Faltan semana, bloque, cantidad y nombre homologado"
