semana_iso,anio,grupo,tallos_semana,tallos_dia
36,2026,Lisianthus,1053,176
36,2026,Campanula,578,96
36,2026,Statice,423,70
36,2026,Celosia cristata,316,53
36,2026,Matricaria,140,23
36,2026,Strawflower,133,22
37,2026,Lisianthus,657,110
37,2026,Campanula,578,96
37,2026,Celosia cristata,514,86
37,2026,Statice,423,70
37,2026,Boca de Dragón,402,67
37,2026,Gomphrena,306,51
37,2026,Strawflower,133,22
38,2026,Lisianthus,800,133
38,2026,Gomphrena,756,126
38,2026,Campanula,578,96
38,2026,Statice,423,70
38,2026,Boca de Dragón,402,67
38,2026,Ammi,220,37
38,2026,Celosia cristata,147,24
38,2026,Dusty Miller,130,22
38,2026,Strawflower,30,5
39,2026,Gomphrena,756,126
39,2026,Lisianthus,526,88
39,2026,Boca de Dragón,523,87
39,2026,Statice,423,70
39,2026,Ammi,220,37
39,2026,Dusty Miller,130,22
39,2026,Strawflower,30,5
40,2026,Gomphrena,1582,264
40,2026,Lisianthus,565,94
40,2026,Statice,423,70
40,2026,Boca de Dragón,402,67
40,2026,Ammi,220,37
40,2026,Dusty Miller,130,22
41,2026,Gomphrena,1582,264
41,2026,Boca de Dragón,1110,185
41,2026,Lisianthus,565,94
41,2026,Statice,423,70
41,2026,Campanula,225,38
41,2026,Ammi,220,37
42,2026,Gomphrena,1582,264
42,2026,Boca de Dragón,1354,226
42,2026,Statice,423,70
42,2026,Boca de Dragón MB,310,52
42,2026,Campanula,225,38
42,2026,Ammi,183,30
42,2026,Lisianthus,182,30
42,2026,Matricaria,36,6
43,2026,Boca de Dragón,1730,288
43,2026,Gomphrena,1276,213
43,2026,Green Ball,666,111
43,2026,Statice,423,70
43,2026,Boca de Dragón MB,310,52
43,2026,Campanula,225,38
43,2026,Ammi,183,30
43,2026,Lisianthus,182,30
43,2026,Strawflower,118,20
43,2026,Dusty Miller,77,13
43,2026,Matricaria,36,6
44,2026,Boca de Dragón,1894,316
44,2026,Trachellium,845,141
44,2026,Gomphrena,826,138
44,2026,Green Ball,666,111
44,2026,Limonium,559,93
44,2026,Statice,423,70
44,2026,Ammi,183,30
44,2026,Strawflower,118,20
44,2026,Dusty Miller,77,13
44,2026,Lisianthus,39,6
45,2026,Boca de Dragón,1529,255
45,2026,Gomphrena,1161,194
45,2026,Trachellium,845,141
45,2026,Green Ball,666,111
45,2026,Limonium,559,93
45,2026,Statice,423,70
45,2026,Ammi,414,69
45,2026,Campanula,161,27
45,2026,Strawflower,118,20
45,2026,Dusty Miller,77,13
45,2026,Lisianthus,39,6
46,2026,Gomphrena,1333,222
46,2026,Boca de Dragón,1314,219
46,2026,Trachellium,845,141
46,2026,Limonium,559,93
46,2026,Statice,423,70
46,2026,Campanula,354,59
46,2026,Ammi,231,38
46,2026,Strawflower,118,20
46,2026,Matricaria,89,15
47,2026,Gomphrena,1333,222
47,2026,Girasol,1005,168
47,2026,Boca de Dragón,723,120
47,2026,Limonium,559,93
47,2026,Ammi,462,77
47,2026,Statice,423,70
47,2026,Campanula,354,59
47,2026,Strawflower,118,20
47,2026,Dusty Miller,96,16
47,2026,Matricaria,89,15
48,2026,Gomphrena,1333,222
48,2026,Girasol,1005,168
48,2026,Boca de Dragón,924,154
48,2026,Limonium,559,93
48,2026,Campanula,547,91
48,2026,Ammi,462,77
48,2026,Strawflower,118,20
48,2026,Dusty Miller,96,16
49,2026,Girasol,1594,266
49,2026,Gomphrena,1333,222
49,2026,Boca de Dragón,964,161
49,2026,Campanula,707,118
49,2026,Green Ball,666,111
49,2026,Limonium,559,93
49,2026,Statice,257,43
49,2026,Ammi,231,38
49,2026,Dusty Miller,96,16
50,2026,Trachellium,1690,282
50,2026,Gomphrena,1333,222
50,2026,Campanula,707,118
50,2026,Boca de Dragón,683,114
50,2026,Green Ball,666,111
50,2026,Girasol,589,98
50,2026,Limonium,559,93
50,2026,Statice,257,43
50,2026,Ammi,231,38
51,2026,Trachellium,1690,282
51,2026,Gomphrena,998,166
51,2026,Green Ball,666,111
51,2026,Girasol,589,98
51,2026,Limonium,559,93
51,2026,Boca de Dragón,482,80
51,2026,Campanula,353,59
51,2026,Statice,257,43
51,2026,Ammi,220,37
51,2026,Matricaria,76,13
52,2026,Trachellium,1690,282
52,2026,Statice,257,43
52,2026,Ammi,220,37
52,2026,Matricaria,76,13
1,2027,Statice,257,43
1,2027,Ammi,220,37
1,2027,Campanula,128,21
2,2027,Statice,257,43
2,2027,Ammi,220,37
2,2027,Campanula,128,21
3,2027,Gomphrena,570,95
3,2027,Statice,257,43
3,2027,Campanula,128,21
4,2027,Trachellium,845,141
4,2027,Gomphrena,570,95
4,2027,Statice,257,43
5,2027,Trachellium,845,141
5,2027,Gomphrena,570,95
6,2027,Trachellium,845,141
6,2027,Gomphrena,570,95
7,2027,Gomphrena,570,95
8,2027,Gomphrena,570,95
12,2027,Dusty Miller,130,22
13,2027,Dusty Miller,130,22
14,2027,Dusty Miller,130,22
