semana_iso,lotes_en_cosecha,plantas_en_cosecha,lotes_que_arrancan,lotes_que_terminan,productos_en_cosecha,fuente
36,22,26888,4,6,Ammi Majus · Bunny Tails · Campanula Pink · Campanula White · Craspedia · Cristata Enda Rose · Dianthus Green Ball · Dusty New Look · Echinops · Forever Silver · Lisianthus Blanco · Lisianthus Pastel · Lisianthus Rosado · Matricaria Vegmo · Strawflower Apricot Peach · Strawflower Bright Rose · Strawflower Cranberry Rose · Strawflower Silvery Rose,PROGRAMACION_2026 v8 + correcciones de campo Vanessa 2026-09-03
37,23,29332,7,6,Ammi Majus · Bunny Tails · Campanula Pink · Campanula White · Craspedia · Cristata Clubs Cocktail · Cristata Enda Rose · Cristata Reprise Orange · Dianthus Green Ball · Dianthus Sweet Cherry · Dusty New Look · Echinops · Forever Silver · Lisianthus Blanco · Lisianthus Rosado · Opus Appleblossom · Opus Fresh · Quis Pink · Salmon Pink · Strawflower Apricot Peach · Strawflower Bright Rose · Strawflower Cranberry Rose · Strawflower Silvery Rose,PROGRAMACION_2026 v8 + correcciones de campo Vanessa 2026-09-03
38,22,29468,5,7,Ammi Majus · Bunny Tails · Campanula Pink · Campanula White · Craspedia · Cristata Clubs Cocktail · Dianthus Green Ball · Dianthus Sweet Cherry · Dusty New Look · Echinops · Forever Silver · Lisianthus Blanco · Lisianthus Rosado · Opus Appleblossom · Opus Fresh · QIS Carmine · Quis Pink · Salmon Pink · Strawflower Cranberry Rose,PROGRAMACION_2026 v8 + correcciones de campo Vanessa 2026-09-03
39,16,19462,1,3,Ammi Majus · Bunny Tails · Craspedia · Dianthus Sweet Cherry · Dusty New Look · Echinops · Forever Silver · Lisianthus Blanco · Opus Appleblossom · Opus Fresh · Opus White Fresh · QIS Carmine · Quis Pink · Salmon Pink · Strawflower Cranberry Rose,PROGRAMACION_2026 v8 + correcciones de campo Vanessa 2026-09-03
40,18,20642,5,1,Ammi Majus · Bunny Tails · Craspedia · Dusty New Look · Echinops · Forever Silver · Lisianthus Blanco · Opus White Fresh · QIS Carmine · Quis Pink · Salmon Pink · Scabiosa Triple Berry · Snapdragon Monaco Dark Pink · Strawflower Cranberry Rose,PROGRAMACION_2026 v8 + correcciones de campo Vanessa 2026-09-03
41,22,25927,5,3,Ammi Majus · Bunny Tails · Campanula Champion White · Cannes Lemon · Cannes Red · Craspedia · Echinops · Forever Silver · Lisianthus Blanco · Opus White Fresh · QIS Carmine · Quis Pink · Salmon Pink · Scabiosa Triple Berry · Snapdragon Monaco Dark Pink · Strawflower Copper Red · Strawflower Cranberry Rose · Strawflower King Size Red,PROGRAMACION_2026 v8 + correcciones de campo Vanessa 2026-09-03
42,27,28137,8,4,Achillea Cerise Queen · Achillea Cloth of God · Ammi Majus · Bunny Tails · Campanula Champion White · Cannes Lemon · Cannes Red · Craspedia · Echinops · Forever Silver · Lisianthus Blanco · MB Ivory · MB Madame Butterfly · Matricaria Snowball · QIS Carmine · Quis Pink · Salmon Pink · Scabiosa Triple Berry · Snapdragon Monaco Dark Pink · Snapdragon Opus Fresh · Snapdragon Opus Lavender · Strawflower Copper Red · Strawflower Cranberry Rose · Strawflower King Size Red,PROGRAMACION_2026 v8 + correcciones de campo Vanessa 2026-09-03
43,33,34623,10,8,Achillea Cerise Queen · Achillea Cloth of God · Ammi Majus · Bunny Tails · Campanula Champion White · Cannes Lemon · Cannes Red · Craspedia · Dianthus Green Ball · Dusty New Look · Echinops · Forever Silver · Lisianthus Blanco · MB Ivory · MB Madame Butterfly · Matricaria Snowball · QIS Carmine · Quis Pink · Snapdragon Opus Fresh · Snapdragon Opus Lavender · Snapdragon Opus Red · Strawflower Copper Red · Strawflower Cranberry Rose · Strawflower King Size Red · Strawflower Vintage White,PROGRAMACION_2026 v8 + correcciones de campo Vanessa 2026-09-03
44,32,31853,7,4,Achillea Cerise Queen · Achillea Cloth of God · Ammi Majus · Bunny Tails · Craspedia · Dianthus Green Ball · Dusty New Look · Echinops · Forever Silver · Limonium Quis Lavender · Lisianthus Blanco · QIS Carmine · Quis Pink · Snapdragon Monaco Dark Pink · Snapdragon Monaco Plumblossom · Snapdragon Opus Fresh · Snapdragon Opus Lavender · Snapdragon Opus Red · Snapdragon Opus White Fresh · Snapdragon Plumblossom · Statice Hipster Apricot · Strawflower Copper Red · Strawflower Cranberry Rose · Strawflower King Size Red · Strawflower Vintage White · Trachelium White,PROGRAMACION_2026 v8 + correcciones de campo Vanessa 2026-09-03
45,32,33743,4,9,Ammi Majus · Bunny Tails · Campanula Champion Pink · Craspedia · Dianthus Green Ball · Dusty New Look · Echinops · Forever Silver · Limonium Quis Lavender · Lisianthus Blanco · QIS Carmine · QIS Orange · QIS Red · Quis Pink · Snapdragon Monaco Dark Pink · Snapdragon Monaco Plumblossom · Snapdragon Opus Fresh · Snapdragon Opus Lavender · Snapdragon Opus Red · Snapdragon Opus White Fresh · Snapdragon Plumblossom · Statice Hipster Apricot · Strawflower Copper Red · Strawflower Cranberry Rose · Strawflower King Size Red · Strawflower Vintage White · Trachelium White,PROGRAMACION_2026 v8 + correcciones de campo Vanessa 2026-09-03
46,28,31483,5,7,Ammi Majus · Bunny Tails · Campanula Champion Pink · Campanula champion White · Craspedia · Dianthus Sweet Cherry · Echinops · Forever Silver · Gomphrena Carmine · Gomphrena Quis Red · Limonium Quis Lavender · Lisianthus Blanco · Matricaria Snowball · QIS Orange · QIS Red · Snapdragon Monaco Dark Pink · Snapdragon Monaco Plumblossom · Snapdragon Opus White Fresh · Snapdragon Plumblossom · Statice Hipster Apricot · Strawflower Copper Red · Strawflower Cranberry Rose · Strawflower King Size Red · Strawflower Vintage White · Trachelium White,PROGRAMACION_2026 v8 + correcciones de campo Vanessa 2026-09-03
47,26,29033,5,3,Ammi Majus · Bunny Tails · Campanula Champion Pink · Campanula champion White · Craspedia · Dianthus Sweet Cherry · Dusty Miller · Dusty New Look · Echinops · Forever Silver · Girasol Pro Cut Red · Gomphrena Carmine · Gomphrena Quis Red · Limonium Quis Lavender · Lisianthus Blanco · Matricaria Snowball · QIS Orange · QIS Red · Statice Hipster Apricot · Strawflower Cranberry Rose · Strawflower Vintage White · Sunflower Pro Cut Red,PROGRAMACION_2026 v8 + correcciones de campo Vanessa 2026-09-03
48,26,29030,3,8,Ammi Majus · Bunny Tails · Campanula champion White · Campanulas Champion Pink · Campanulas Champion White · Craspedia · Dianthus Sweet Cherry · Dusty Miller · Dusty New Look · Echinops · Girasol Pro Cut Red · Gomphrena Carmine · Gomphrena Quis Red · Limonium Quis Lavender · Lisianthus Blanco · QIS Orange · QIS Red · Statice Hipster Apricot · Strawflower Cranberry Rose · Strawflower Vintage White · Sunflower Pro Cut Red,PROGRAMACION_2026 v8 + correcciones de campo Vanessa 2026-09-03
