semana_iso,anio,grupo,producto,bloque,plantas,tallos_semana,tallos_dia,base_del_calculo,origen
36,2026,Ammi,Ammi Majus,3EXT,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
36,2026,Campanula,Campanula Pink,4C,3014,353,59,"OBSERVADO (8 sem de registro, 3,403 tallos reales)",CAMPO (ya sembrado)
36,2026,Campanula,Campanula White,3C+4C,1918,225,38,"OBSERVADO (8 sem de registro, 3,403 tallos reales)",CAMPO (ya sembrado)
36,2026,Celosia cristata,Cristata Enda Rose,3A + media 4A,4264,316,53,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
36,2026,Dusty Miller,Dusty New Look,5,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
36,2026,Green Ball,Dianthus Green Ball,4B (media cama),SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
36,2026,Lisianthus,Lisianthus Blanco,3B,2800,383,64,"OBSERVADO (9 sem de registro, 5,657 tallos reales)",CAMPO (ya sembrado)
36,2026,Lisianthus,Lisianthus Rosado,Mini 3C Y 3B,2000,274,46,"OBSERVADO (9 sem de registro, 5,657 tallos reales)",CAMPO (ya sembrado)
36,2026,Lisianthus,Lisianthus Pastel,Mini 3C Y 3B,1045,143,24,"OBSERVADO (9 sem de registro, 5,657 tallos reales)",CAMPO (ya sembrado)
36,2026,Lisianthus,Lisianthus Rosado,Mini 3C Y 3B,1000,137,23,"OBSERVADO (9 sem de registro, 5,657 tallos reales)",CAMPO (ya sembrado)
36,2026,Lisianthus,Lisianthus Rosado,Mini 3C Y 3B,849,116,19,"OBSERVADO (9 sem de registro, 5,657 tallos reales)",CAMPO (ya sembrado)
36,2026,Lisianthus,Lisianthus Rosado,Mini 3C Y 3B,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
36,2026,Matricaria,Matricaria Vegmo,4A,3168,140,23,"OBSERVADO (7 sem de registro, 1,460 tallos reales)",CAMPO (ya sembrado)
36,2026,Matricaria,Matricaria Vegmo,5,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
36,2026,Statice,Forever Silver,3C,1647,423,70,"OBSERVADO (12 sem de registro, 10,535 tallos reales)",CAMPO (ya sembrado)
36,2026,Strawflower,Strawflower Apricot Peach,3EXT,994,38,6,"OBSERVADO (12 sem de registro, 1,872 tallos reales)",CAMPO (ya sembrado)
36,2026,Strawflower,Strawflower Bright Rose,3EXT,891,34,6,"OBSERVADO (12 sem de registro, 1,872 tallos reales)",CAMPO (ya sembrado)
36,2026,Strawflower,Strawflower Silvery Rose,3EXT,800,31,5,"OBSERVADO (12 sem de registro, 1,872 tallos reales)",CAMPO (ya sembrado)
36,2026,Strawflower,Strawflower Cranberry Rose,3EXT,790,30,5,"OBSERVADO (12 sem de registro, 1,872 tallos reales)",CAMPO (ya sembrado)
37,2026,Ammi,Ammi Majus,3EXT,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
37,2026,Boca de Dragón,Opus Appleblossom,4B,1644,241,40,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
37,2026,Boca de Dragón,Opus Fresh,3A,1096,161,27,"OBSERVADO (12 sem de registro, 12,409 tallos reales)",CAMPO (ya sembrado)
37,2026,Campanula,Campanula Pink,4C,3014,353,59,"OBSERVADO (8 sem de registro, 3,403 tallos reales)",CAMPO (ya sembrado)
37,2026,Campanula,Campanula White,3C+4C,1918,225,38,"OBSERVADO (8 sem de registro, 3,403 tallos reales)",CAMPO (ya sembrado)
37,2026,Celosia cristata,Cristata Enda Rose,3A + media 4A,4264,316,53,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
37,2026,Celosia cristata,Cristata Clubs Cocktail,4A (media cama),1978,147,24,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
37,2026,Celosia cristata,Cristata Reprise Orange,4A,693,51,8,TEORICO x factor de merma global 0.22,CAMPO (ya sembrado)
37,2026,Dianthus,Dianthus Sweet Cherry,4A,1918,SIN_DATO,SIN_DATO,SIN_DATO — este grupo nunca se ha registrado en cosecha,CAMPO (ya sembrado)
37,2026,Dusty Miller,Dusty New Look,5,SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
37,2026,Gomphrena,Salmon Pink,4B,730,190,32,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
37,2026,Gomphrena,Quis Pink,2,447,116,19,"OBSERVADO (11 sem de registro, 6,248 tallos reales)",CAMPO (ya sembrado)
37,2026,Green Ball,Dianthus Green Ball,4B (media cama),SIN_DATO,SIN_DATO,SIN_DATO,falta el conteo de plantas del lote,CAMPO (ya sembrado)
37,2026,Lisianthus,Lisianthus Blanco,3B,2800,383,64,"OBSERVADO (9 sem de registro, 5,657 tallos reales)",CAMPO (ya sembrado)
37,2026,Lisianthus,Lisianthus Rosado,Mini 3C Y 3B,2000,274,46,"OBSERVADO (9 sem de registro, 5,657 tallos reales)",CAMPO (ya sembrado)
37,2026,Statice,Forever Silver,3C,1647,423,70,"OBSERVADO (12 sem de registro, 10,535 tallos reales)",CAMPO (ya sembrado)
37,2026,Strawflower,Strawflower Apricot Peach,3EXT,994,38,6,"OBSERVADO (12 sem de registro, 1,872 tallos reales)",CAMPO (ya sembrado)
37,2026,Strawflower,Strawflower Bright Rose,3EXT,891,34,6,"OBSERVADO (12 sem de registro, 1,872 tallos reales)",CAMPO (ya sembrado)
37,2026,Strawflower,Strawflower Silvery Rose,3EXT,800,31,5,"OBSERVADO (12 sem de registro, 1,872 tallos reales)",CAMPO (ya sembrado)
37,2026,Strawflower,Strawflower Cranberry Rose,3EXT,790,30,5,"OBSERVADO (12 sem de registro, 1,872 tallos reales)",CAMPO (ya sembrado)
