mes,concepto,valor,estado,fuente,nota
2026-01,insumos_poscosecha_empaque,0,SIN_CARGAR,"DCB_Modelo_Costos (Drive, leido 2026-09-10)",auto en el modelo: 3E-Insumos Poscosecha + 3E-Empaque
2026-01,logistico_laban,0,SIN_CARGAR,"DCB_Modelo_Costos (Drive, leido 2026-09-10)",auto en el modelo: 3F-Logistico. Se reparte sobre el 93% de tallos que mueve la van
2026-01,nomina_poscosecha_mo_campo,14975138,OK,"DCB_Modelo_Costos (Drive, leido 2026-09-10)",auto en el modelo: 3E-MO Poscosecha + 3C-MO campo
2026-01,overhead_admin_seguridad_social,8814904,OK,"DCB_Modelo_Costos (Drive, leido 2026-09-10)",auto en el modelo: 4C-Administracion + Seguridad social
2026-01,pct_descarte_poscosecha,0.1,OK,"DCB_Modelo_Costos (Drive, leido 2026-09-10)","default 10%, ajustable"
2026-01,pct_tallos_por_van,0.93,OK,"DCB_Modelo_Costos (Drive, leido 2026-09-10)","default 93%, ajustable"
2026-01,tallos_vendidos,0,SIN_DATO,"DCB_Modelo_Costos (Drive, leido 2026-09-10)","SIN_DATO — es el UNICO campo manual del modelo y esta en 0 en los 12 meses. Sin el, todo el costo por tallo sale en $0"
2026-02,insumos_poscosecha_empaque,0,SIN_CARGAR,"DCB_Modelo_Costos (Drive, leido 2026-09-10)",auto en el modelo: 3E-Insumos Poscosecha + 3E-Empaque
2026-02,logistico_laban,1052945,OK,"DCB_Modelo_Costos (Drive, leido 2026-09-10)",auto en el modelo: 3F-Logistico. Se reparte sobre el 93% de tallos que mueve la van
2026-02,nomina_poscosecha_mo_campo,14067928,OK,"DCB_Modelo_Costos (Drive, leido 2026-09-10)",auto en el modelo: 3E-MO Poscosecha + 3C-MO campo
2026-02,overhead_admin_seguridad_social,8320560,OK,"DCB_Modelo_Costos (Drive, leido 2026-09-10)",auto en el modelo: 4C-Administracion + Seguridad social
2026-02,pct_descarte_poscosecha,0.1,OK,"DCB_Modelo_Costos (Drive, leido 2026-09-10)","default 10%, ajustable"
2026-02,pct_tallos_por_van,0.93,OK,"DCB_Modelo_Costos (Drive, leido 2026-09-10)","default 93%, ajustable"
2026-02,tallos_vendidos,0,SIN_DATO,"DCB_Modelo_Costos (Drive, leido 2026-09-10)","SIN_DATO — es el UNICO campo manual del modelo y esta en 0 en los 12 meses. Sin el, todo el costo por tallo sale en $0"
2026-03,insumos_poscosecha_empaque,0,SIN_CARGAR,"DCB_Modelo_Costos (Drive, leido 2026-09-10)",auto en el modelo: 3E-Insumos Poscosecha + 3E-Empaque
2026-03,logistico_laban,0,SIN_CARGAR,"DCB_Modelo_Costos (Drive, leido 2026-09-10)",auto en el modelo: 3F-Logistico. Se reparte sobre el 93% de tallos que mueve la van
