variedad,bloque,semana,tipo,evidencia_literal,fuente
Zinnia Benarys Giant Carmen Rose,3AB,28,sobra,Sem28 muchisima produccion. Mas de lo que se puede vender,campo_siembras.csv COMENTARIOS
Zinnia Benary Giant Bright Pink,4B,28,sobra,Sem28 muchisima produccion. Mas de lo que se puede vender,campo_siembras.csv COMENTARIOS
"Zinnia Aurora, Bailarina, Benary",4B,28,sobra,Sem28 muchisima produccion. Mas de lo que se puede vender,campo_siembras.csv COMENTARIOS
Zinnia Aurora,5,28,sobra,Sem28 muchisima produccion,campo_siembras.csv COMENTARIOS
Zinnia Ballerina,5,28,sobra,Sem28 muchisima produccion,campo_siembras.csv COMENTARIOS
Gomphrena Quis Carmine,3A bajas,24,sobra,mucha produccion para lo que vendemos,campo_siembras.csv COMENTARIOS
Ammobium Alatum,3A,,sobra,Demasiada cantidad de flor para la que piden,campo_siembras.csv COMENTARIOS
Snapdragon Monaco Dark Pink,4A,22,sobra,Tallos extraordinarios con cabezas gruesas. No tengo a quien venderselo,campo_siembras.csv COMENTARIOS
Snapdragon Opus Fresh,4,,falta,"Poquita cantidad de blanco, es lo minimo semanal para condolencias etc",campo_siembras.csv COMENTARIOS
Gomphrenas Quis Pink,4A,19,falta,LAS USAMOS TODAS EN MADRES y se quedaron cortas en cantidad,campo_siembras.csv COMENTARIOS
Ammobium Alatum,3A,,calidad_venta,muchas devoluciones y perdidas en carritos. Pudricion de parte baja de tallos,campo_siembras.csv COMENTARIOS
Larkspur Misty Lavender y Light Blue,3A,24,calidad_venta,"las ventas no fueron tan buenas, se despetalaban en el carrito",campo_siembras.csv COMENTARIOS
Nigella Miss Jekyll Pink,3C,,calidad_venta,En carritos se despetala,campo_siembras.csv COMENTARIOS
