grupo,tallos_planta_semana_observado,tallos_planta_semana_teorico,porcentaje_del_teorico,tallos_reales_registrados,semanas_con_registro,ventana_de_calibracion,fuente
Zinnia,0.6715,0.25,269%,5091,10,semanas ISO 22-33 de 2026,registro_tallos.csv (696 registros) / plantas en ventana de PROGRAMACION_2026 v8
Green Ball,0.4161,0.3333,125%,3751,11,semanas ISO 22-33 de 2026,registro_tallos.csv (696 registros) / plantas en ventana de PROGRAMACION_2026 v8
Girasol,0.3878,0.3333,116%,1047,5,semanas ISO 22-33 de 2026,registro_tallos.csv (696 registros) / plantas en ventana de PROGRAMACION_2026 v8
Gomphrena,0.2603,0.5,52%,6248,11,semanas ISO 22-33 de 2026,registro_tallos.csv (696 registros) / plantas en ventana de PROGRAMACION_2026 v8
Statice,0.2568,1.0,26%,10535,12,semanas ISO 22-33 de 2026,registro_tallos.csv (696 registros) / plantas en ventana de PROGRAMACION_2026 v8
Amaranto,0.1681,0.3333,50%,2178,12,semanas ISO 22-33 de 2026,registro_tallos.csv (696 registros) / plantas en ventana de PROGRAMACION_2026 v8
Boca de Dragón,0.1466,0.3333,44%,12409,12,semanas ISO 22-33 de 2026,registro_tallos.csv (696 registros) / plantas en ventana de PROGRAMACION_2026 v8
Lisianthus,0.1368,0.3333,41%,5657,9,semanas ISO 22-33 de 2026,registro_tallos.csv (696 registros) / plantas en ventana de PROGRAMACION_2026 v8
Ammi,0.1337,0.375,36%,2562,11,semanas ISO 22-33 de 2026,registro_tallos.csv (696 registros) / plantas en ventana de PROGRAMACION_2026 v8
Campanula,0.1172,0.3333,35%,3403,8,semanas ISO 22-33 de 2026,registro_tallos.csv (696 registros) / plantas en ventana de PROGRAMACION_2026 v8
Ammobium,0.1036,0.3333,31%,2432,10,semanas ISO 22-33 de 2026,registro_tallos.csv (696 registros) / plantas en ventana de PROGRAMACION_2026 v8
Dusty Miller,0.0889,2.6667,3%,578,7,semanas ISO 22-33 de 2026,registro_tallos.csv (696 registros) / plantas en ventana de PROGRAMACION_2026 v8
Celosia plumosa,0.0873,1.0,9%,6221,9,semanas ISO 22-33 de 2026,registro_tallos.csv (696 registros) / plantas en ventana de PROGRAMACION_2026 v8
Trachellium,0.0526,2.0,3%,200,2,semanas ISO 22-33 de 2026,registro_tallos.csv (696 registros) / plantas en ventana de PROGRAMACION_2026 v8
Matricaria,0.0441,0.5,9%,1460,7,semanas ISO 22-33 de 2026,registro_tallos.csv (696 registros) / plantas en ventana de PROGRAMACION_2026 v8
Strawflower,0.0383,1.0,4%,1872,12,semanas ISO 22-33 de 2026,registro_tallos.csv (696 registros) / plantas en ventana de PROGRAMACION_2026 v8
Larkspur,0.0254,0.5,5%,243,2,semanas ISO 22-33 de 2026,registro_tallos.csv (696 registros) / plantas en ventana de PROGRAMACION_2026 v8
