Fecha entrega,Variedad,Color,Cantidad semillas,Temporada estimada,Fecha recepción,Cantidad plantulas,Nota
2024-02-16,Girasol Perenne Maximilian,,1/16 oz,,,,
2024-02-16,Dill Bouquet,,1000,,,,
2024-02-16,Artemisia Sweet Annie,,1/128 oz,,,,
2024-02-16,Digitalis Camelot Mix,,50,,,,
2024-02-16,Digitalis Dalmatian Peach,,50,,,,
2024-02-16,Yarrow Colorado Blend,,50mg,,,,
2024-02-16,Marjoram Wild,,200,,,,
2024-02-16,Salvia Blue Victory,,abierto,,,,
2024-02-16,Sunflower Teddy Bear Dwarf,,1 gr,,,,
2024-02-16,Salvia Pink Sundae,,1000,,,,
2024-02-16,Linaria Fairy Bouquet,,200 mg,,,,
2024-02-16,Phlox Grandiflora,,200 mg,,,,
2024-02-16,Yarrow Red Shades,,abierto,,,,
2024-02-16,Grass Frosted Explosion,,abierto,,,,
2024-02-16,Grass Quacking,,abierto,,,,
2024-02-16,Grass Green Drops,,abierto,,,,
2024-02-16,Grass Feathertops,,abierto,,,,
2024-02-16,Rudbeckia Triloba,,500,,,,
2024-02-16,Cosmos Cupcake White,,250,,,,
