1,2,3,4,5,6,7,8,9,11,38
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,2,,,,,,,,,
,,,CLASIFICACION,,,,8,8,,38
CODIGO,CP,FA,LINEA,CATEGORIA,TP,CASA / CCIAL,PRODUCTO,PRESENTACIÓN,IVA,PRECIO
1IFDA-01,ABAFED,44882,PC,ACARICIDA,DT,FEDEARROZ,ABAFED 18 EC,BIDON X 1 LT,0,40689.589963116006
1IDVA-04,ABAMECTINA 1.8 EC – DVA,45595,PC,INSECTICIDA,DT,DVA,ABAMECTINA 1.8 EC – DVA,BIDON X 1 LT,0,39037.949999999997
1IPCA-03,ABAMEX 1.8 EC,45520,PC,INSECTICIDA,DT,PRECISAGRO,ABAMEX 1.8 EC,BIDON X 1 LT,0,30436.860759493673
2CHYD-07,ABONO 17618,45209,NV,EDAFICO,CO,VARIOS,ABONO 17-6-18-3 ,BULTO X 50 KG,0,213747.2064
2CHYD-08,ABONO T18,45209,NV,EDAFICO,CO,VARIOS,ABONO 18-18-18,BULTO X 50 KG,0,181631
2CHYD-01,ABONO 3188,44966,NV,EDAFICO,CO,VARIOS,ABONO 31-8-8,BULTO X 50 KG,0,185058
1MBIO-57,ACAREX PLUS SC,46090,BIO,ACARICIDA,EX,BIO-CROP,ACAREX PLUS SC,BIDON X 1 LT,0,69292.387499999997
1MBIO-16,ACAREX SC,44532,BIO,ACARICIDA,EX,BIO-CROP,ACAREX SC ,BIDON X 1 LT,0,74271.600000000006
1MBIO-43,ACAREX SC,44862,BIO,ACARICIDA,EX,BIO-CROP,ACAREX SC ,CANECA X 20 LT,0,1421158.5
1IITR-13,ACARIBOOM,44977,PC,ACARICIDA,EX,INTEROC,ACARIBOOM,BIDON X 1 LT,0,211778.27446309401
1IDVA-03,ACCARO 100 EW,45595,PC,INSECTICIDA,DT,DVA,ACCARO 100 EW,BIDON X 1 LT,0,115178.11200000001
8PGEN-01,ACIDO CITRICO,44532,DPV,TRAT AGUAS,CO,VARIOS,ACIDO CITRICO,BULTO X 25 KG,0.19,155250
2SGEN-01,ACIDO FOSFORICO,44966,NV,FERTIRRIEGO,CO,VARIOS,ACIDO FOSFORICO 85%,CANECA X 35 KG,0.19,287945.28000000003
1AMCF-24,ACIDUREZ,45052,PC,COADYUVANTE,DT,MICROFERTISA,ACIDUREZ,BOLSA X 1 KG,0.19,37539.900160000005
1CACU-03,ACONDICIONADOR,44753,PC,COADYUVANTE,AL,SYS,ACONDICIONADOR,BOLSA X 1 KG,0.19,32665.194362767619
1AALC-07,ACT2,43928,BIO,INDUCTOR,EX,AGROLOGICA,ACT2,BIDON X 1 LT,0,76812.901496470586
1ISYN-25,ACTARA,45021,PC,INSECTICIDA,DB,SYNGENTA,ACTARA ,BOLSA X 500 GR,0,307037.87400000001
1BCPF-02,ACTIPLANT,45017,BIA,BIOESTIMULANTE,EX,CAMPOFERT,ACTIPLANT ,BIDON X 1 LT,0,73428.696000000011
1BCPF-09,ACTIPLANT,45678,BIA,BIOESTIMULANTE,EX,CAMPOFERT,ACTIPLANT ,GALON X 4 LT,0,329871.51999999996
