fecha_entrega,fecha_fuente,variedad,color,semillas,sem_entrega_semilla,sem_germinacion,sem_estimada_entrega,sem_entregada,sem_en_germinacion,entrega_1,entrega_2,entrega_3,entrega_4,plantulas_total,pct_germ_fuente,pct_germ_calc,viables_wk23,pinch_enfermas_wk23,perdida_wk23
2025-11-10,10/11/25,Lisianthus Celeb 2 Apricot,Salmon,3000,,47,7,9,15,1600,200,20,37,1857,61.9,61.9,1751,550,106
2025-11-10,10/11/25,Lisianthus Celeb 2 Lovely Pink,Rosa,2000,,47,7,9,15,1000,,,32,1032,51.6,51.6,1812,,-780
2025-11-10,10/11/25,Lisianthus Megalo 3 Pink Rim,Blanco/rosa,2000,,47,7,9,15,1045,200,136,15,1396,69.8,69.8,1121,107,275
2025-11-10,10/11/25,Lisianthus Celeb 2 Madonna,Rosa,2000,,47,7,9,15,200,1300,,,1500,75.0,75.0,432,,1068
2025-11-10,10/11/25,Lisianthus Corelli 1 Yellow,Amarillo,2000,,47,7,9,15,1000,400,200,93,1693,84.65,84.65,1307,,386
2025-11-10,10/11/25,Lisianthus Megalo 1 Yellow,Amarillo,2000,,47,7,9,15,446,,,70,516,25.8,25.8,444,,72
2025-11-10,10/11/25,Lisianthus Megalo 2 Deep Orange,Salmon,3000,,47,7,9,15,2000,200,140,,2340,78.0,78.0,840,,1500
2025-11-10,10/11/25,Lisianthus Corelli 2 White Improved,Blanco,2000,,47,7,9,15,400,1000,70,26,1496,74.8,74.8,1224,,272
2025-11-10,10/11/25,Lisianthus Celeb 2 Crystal,Blanco,2000,,47,7,9,15,1200,400,50,73,1723,86.15,86.15,988,546,735
2025-11-10,10/11/25,Lisianthus Jolly 3 Jolly Pink,Rosa mini,2000,,47,7,9,15,849,400,167,,1416,70.8,70.8,654,,762
2025-11-10,10/11/25,Lisianthus Celeb 1 Beige Neo,Nude,3000,,47,7,9,15,1660,600,120,28,2408,80.27,80.27,2084,46,324
2025-11-10,10/11/25,Lisianthus Megalo 3 Pink Pop,Rosa,2000,,47,7,9,15,800,975,139,10,1924,96.2,96.2,1680,,244
2025-11-12,12/11/25,Snapdragon Opus Early Bronze,Naranja,5000,50,51,3,7,9,4724,,,,4724,94.48,94.48,,,
2025-11-12,12/11/25,Celosia Shimmer,Mix,3000,51,52,4,6,8,2490,,,,2490,83.0,83.0,,,
2025-11-12,12/11/25,Celosia Indian Summer Burgundy,Wine,4000,51,52,4,6,8,1800,,,,1800,45.0,45.0,,,
2025-11-12,12/11/25,Celosia Lavly,Purple,3000,51,52,4,6,8,2082,,,,2082,69.4,69.4,,,
2025-11-12,12/11/25,Celosia Dreams,,,51,52,4,6,8,350,,,,350,,,,,
2025-11-12,12/11/25,Statice Forever Happy,Lilac,3000,51,2,4,8,8,2549,,,,2549,84.97,84.97,,,
2025-11-12,12/11/25,Zinnia Aurora,Orange,1000,51,2,6,6,8,889,,,,889,88.9,88.9,,,
2025-11-12,12/11/25,Zinnia Ballerina,Pink,500,51,2,6,6,8,484,,,,484,96.8,96.8,,,
2025-11-12,12/11/25,Zinnia Jazzy Mix,Minis,250,51,2,6,6,8,198,,,,198,79.2,79.2,,,
2025-11-12,12/11/25,Strawflower Cranberry,Wine,3000,51,2,4,7,5,2745,,,,2745,91.5,91.5,,,
2025-11-12,12/11/25,Strawflower Apricot,Salmon,5000,51,2,4,7,5,4240,,,,4240,84.8,84.8,,,
2026-02-11,11/02/26,Gomphrena Quis Carmine,Fucsia,3000,52,1,6,8,9,2776,,,,2776,92.53,92.53,,,
2026-02-11,11/02/26,Gomphrena Sequin,Salmon,1000,52,1,6,8,9,778,,,,778,77.8,77.8,,,
2026-02-11,11/02/26,Amaranth Coral Fountain,Salmon,1000,,1,7,8,8,659,,,,659,65.9,65.9,,,
2025-11-12,12/11/25,Echinops Ritro,Blue,250,51,2,6,7,5,191,,,,191,76.4,76.4,,,
2025-11-12,12/11/25,Amaranthus Velvet,Wine,1000,51,5,11,10,5,800,,,,800,80.0,80.0,,,
2025-11-12,12/11/25,Dusty Miller,Blue,2000,51,5,6,13,8,1000,,,,1000,50.0,50.0,,,
2025-11-12,12/11/25,Larkspur Misty Lavender,Lilac,5000,51,,2,10,8,2274,,,,2274,45.48,45.48,,,
2026-02-11,11/02/26,Celosia Dreams,Mix,1000,52,,6,,,,,,,0,0.0,0.0,,,
2025-11-12,12/11/25,Larkspur Light Blue,Lilac,5000,51,,4,10,8,2588,,,,2588,51.76,51.76,,,
2026-02-11,11/02/26,Gomphrena Raspberry Cream,Salmon,2000,7,8,15,13,6,1600,,,,1600,80.0,80.0,,,
2026-02-11,11/02/26,Statice Forever Happy,Lilac,3000,7,8,14,13,5,2708,,,,2708,90.27,90.27,,,
2026-02-11,11/02/26,Ammobium Wing Everlasting,Yellow,5000,7,5,12,12,5,4518,,,,4518,90.36,90.36,,,
2026-02-11,11/02/26,Amaranto Emerald Tails,Green,2500,7,9,16,13,5,1219,,,,1219,48.76,48.76,,,
2026-02-28,28/02/26,Amaranth Love Lies Bleeding,,1600,10,8,13,15,5,1067,,,,1067,66.69,66.69,,,
2026-02-28,28/02/26,Celosia Spun Sugar,,1000,9,8,17,16,7,1200,,,,1200,120.0,120.0,,,
2026-02-28,28/02/26,Celosia Summer Sherbet,,1000,9,8,17,16,7,1200,,,,1200,120.0,120.0,,,
2026-02-28,28/02/26,Celosia Shimmer,,3000,10,8,18,16,6,3200,,,,3200,106.67,106.67,,,
2026-02-28,28/02/26,Celosia Dreams,,,10,8,18,16,6,2600,,,,2600,,,,,
2026-02-28,28/02/26,Limonium Pink Pokers,,3000,8,9,15,15,6,2670,,,,2670,89.0,89.0,,,
2026-02-28,28/02/26,Limonium Hipster White,,3000,8,9,15,15,6,2952,,,,2952,98.4,98.4,,,
2026-02-28,28/02/26,Zinnia Unicorn,,100,10,3,13,14,4,101,,,,101,101.0,101.0,,,
2026-02-28,28/02/26,Zinnia Precious Metals,,150,10,3,13,14,4,152,,,,152,101.33,101.33,,,
2026-02-28,28/02/26,Zinnia Victorian Weddiing,,100,10,3,13,14,4,101,,,,101,101.0,101.0,,,
2026-02-28,28/02/26,Zinnia Golden Hour,,150,10,3,13,14,4,152,,,,152,101.33,101.33,,,
2026-02-28,28/02/26,Zinnia Linen,,500,10,3,13,14,4,481,,,,481,96.2,96.2,,,
2026-02-28,28/02/26,Scabiosa Starflower,,1000,10,8,18,15,7,870,,,,870,87.0,87.0,,,
2026-02-28,28/02/26,Craspedia,,500,10,8,18,15,7,338,,,,338,67.6,67.6,,,
2026-02-28,28/02/26,Bunny Tails,,1731,10,8,18,15,7,1170,,,,1170,67.59,67.59,,,
2026-03-04,04/03/26,Snapdragon Cannes Red,,3000,10,7,17,16,5,3186,,,,3186,106.2,106.2,,,
2026-03-04,04/03/26,Snapdragon Cannes Pink,,3000,10,7,17,16,5,3186,,,,3186,106.2,106.2,,,
2026-03-04,04/03/26,Snapdragon Cannes Lavender,,3000,11,7,17,16,5,3186,,,,3186,106.2,106.2,,,
2026-03-04,04/03/26,Celosia Cristata Verda Green,,3000,10,8,18,16,6,3134,,,,3134,104.47,104.47,,,
