Nombre en registro,Color en registro,Variedad real,Serie,Bloque/Cama,Estado sem23,Acción
Snapdragon,Fucsia,Snapdragon Monaco Dark Pink,Monaco,Inv5 sem14,CERRADA sem23,No cosechar más
Snapdragon,Naranja,Snapdragon Monaco Orange,Monaco,4A sem15,EN PICO sem24,Cosechar todos los días
Snapdragon,Blanco,Snapdragon Opus Fresh,Opus,4A sem12,CERRADA sem23,No cosechar más
Snapdragon,Apple Blossom,Snapdragon Potomac Appleblossom,Potomac,3B sem7,ÚLTIMOS TALLOS,Cosechar lo que quede
Snapdragon,Vino,Snapdragon Potomac Crimson,Potomac,4A sem12,ACTIVA sem23,Cosechar
Snapdragon,Amarillo,Snapdragon Potomac Early Yellow,Potomac,4A sem12,CERRADA sem23,NO volver a sembrar este color
Snapdragon,Plomblossom,Snapdragon Monaco Plumblossom,Monaco,Inv5 sem14,CERRADA sem23,Causa cultural — dar nueva oportunidad
Snapdragon,Follaje,FOLLAJE/DESCARTE,—,Varias,N/A,No contar en producción comercial
Gomphrena,Fresa,Gomphrena Quis Carmine,Quis,3A bajas sem8,PICO sem23-24,Cosechar diario
Gomphrena,Rosé,Gomphrena Sequin,Sequin,3A bajas sem8,PICO sem23-24,Cosechar diario
Gomphrena,Blanco,Gomphrena Audrey White,Audrey,Confirmar bloque,ACTIVA,Confirmar cama exacta
Gomphrena,Frambuesa,Gomphrena Raspberry Cream,DCB,Inv5 sem15,INICIANDO,Bolitas en formación
Zinnias,Mix,Ver cama exacta por bloque,Varias,4B + 5 sem6 y 14,REVISAR,Camas 5 cerradas. 4B activas.
Larkspur,Lavanda,Larkspur Misty Lavender + Light Blue,Larkspur,3A sem11,ÚLTIMA COSECHA,Registrar tallos secos por separado
Campanula,Mix,Campanula Champion Pink + White,Campanula,Inv5 sem7,ÚLTIMOS TALLOS,Cosechar lo que quede
Campanula,Pink,Campanula Champion Pink,Campanula,Inv5 sem7,ÚLTIMOS TALLOS,
Campanula,White,Campanula Champion White,Campanula,3C sem12 / Inv5,ÚLTIMOS TALLOS,
Statice,Forever Happy,Statice Forever Happy,Statice,3A+3B+4A sem13,PICO,Producción increíble
Statice,Mix,Statice Forever Happy + Silver,Statice,Inv4,ACTIVA,
Statice,Blanco,Statice Forever Silver / Blanco,Statice,Inv4,ACTIVA,
Ammobium,,Ammobium Alatum,Ammobium,3A exterior sem13,INICIANDO,Tallos hermosos en exterior
Ammi majus,,Ammi Majus,Ammi,Inv5 sem9,ACTIVA,Buena producción
Girasol,Mix,Girasol Pro Cut White Lite,Girasol,4A sem13,ACTIVA,Cuidado spodoptera
Green ball,,Dianthus Punky Ball,Green Ball,4A sem9 + 14,ACTIVA,Sin pinch = 1 t/planta. Próxima cama sí tiene pinch.
Amaranto,Cascada verde,Amaranto Emerald Tails,Amaranto,3A sem15,ÚLTIMOS TALLOS,Casi agotado
Amaranto,Velvet,Amaranto Velvet Curtains,Amaranto,Inv6 sem11,ÚLTIMOS TALLOS,Esta semana últimos tallos
Strawflower,Apricot,Strawflower Apricot,Strawflower,Inv6 sem9,INICIANDO,Pico en sem24-25
Strawflower,Mix,Strawflower Apricot + Cranberry,Strawflower,Inv6 sem9,INICIANDO,
Dusty Miller,,IGNORAR — cama no lista,—,Inv5,NO COSECHAR,Diana: no cosechar hasta aviso
DISTRIBUCIÓN MIX — sem23-24,,,,,,
Statice Mix,Forever Happy ~70% | Forever Silver ~20% | Hipster White ~10%,,,,Vanessa sem23,
Zinnia Mix (4B alta + 4B baja),Aurora ~40% | Floret Golden Hour ~30% | Benary Pink ~20% | Linen ~10%,,,,Vanessa sem23,
Boca de Dragón Mix (sem24+),Monaco Red ~50% | Potomac Crimson ~50% (cama compartida sem14),,,,Vanessa sem23,
Gomphrena Mix,Quis Carmine ~65% | Quis Sequin ~20% | Audrey White ~15%,,,,Vanessa sem23 — actualizar según Diana,
