id,variedad,nombre_homologado,grupo,bloque,fecha_siembra,problema,momento_reportado,tipo_semana,severidad,desenlace,confianza,fuente,texto_original
1,Green Ball,Dianthus Green Ball,Green Ball,3C,2025-09-10,FUSARIUM,semana 10,AMBIGUA,GRAVE,SIN_DATO,alta,campo_siembras.csv COMENTARIOS,"Seguimos cosechando en semana 6! En Semana 10 todo esta grave, torcido, fusarium"
2,Matricarias,Matricaria Vegmo,Matricaria,Inv 5,2025-09-18,MOSCA_BLANCA,SIN_DATO,SIN_DATO,GRAVE,SACRIFICADO,alta,campo_siembras.csv COMENTARIOS,"Las sacamos, les dio mosca blanca y no florecieron"
3,Statice Quis Apricot,Statice Apricot,Statice,Inv 2,2025-10-16,BOTRYTIS,desde el inicio,CAMPO,GRAVE,SIN_COSECHA,alta,campo_siembras.csv COMENTARIOS,"No hemos cosechado porque le dio botrytis desde el inicio y se seteo"
4,Matricaria Vegmo Single,Matricaria Vegmo,Matricaria,3C,2025-10-30,MOSCA_BLANCA,semana 8,AMBIGUA,GRAVE,SACRIFICADO,alta,campo_siembras.csv COMENTARIOS,"Sem 8 | Sacrificada por mosca blanca. Fin cosecha anticipado."
5,Statice Forever Silver,Forever Silver,Statice,Inv 5,2025-11-07,BOTRYTIS,semana 16,CAMPO,GRAVE,CIERRE_ANTICIPADO,alta,campo_siembras.csv COMENTARIOS,"Sigue produciendo semana 16, en la semana 16 tiene mucha botrytis, tuvimos que podar muchos tallos, en semana 20 la voy a sacar porque tiene muchos hongos"
6,Statice Forever Silver y Quis Apricot,Forever Silver,Statice,Inv 5,SIN_DATO,BOTRYTIS,semana 20,CAMPO,GRAVE,CIERRE_ANTICIPADO,alta,campo_siembras.csv COMENTARIOS,"Cosechando desde la 15 alguito, en semana 20 tienen mucha botrytis y las bases estan muy feas. Sera que la apricot es inviable de sembrar?, semana 21 cosechamos algo bonito pero persiste botrytis, ya en sem 24 son un cementerio, las vamos a sacar"
7,Carthamus Zanzíbar,Dianthus Sweet Cherry — REVISAR HOMOLOGADO,Carthamus,4B,SIN_DATO,BOTRYTIS,semana 18,CAMPO,GRAVE,VENTANA_ACORTADA,alta,campo_siembras.csv COMENTARIOS,"Semana 14 ya tiene boton, debemos hacer pinch / Empieza cosecha en semana 16! En semana 18 ya vemos mucha botrytis, estamos estirando la cosecha por madres, pero lo ideal seria pelar ya esta semana. En semana 19 ya todo estaba marron. Calcular la ventana de cosecha maximo para la 18."
8,Dahlias,SIN_HOMOLOGAR,Dahlia,Inv 2,SIN_DATO,MILDEO,semana 21,CAMPO,PERSISTENTE,EN_MANEJO,alta,campo_siembras.csv COMENTARIOS,"Empezaron en la 15, semana 21 floracion pero mildeo persistente, insectos y mildeo semana 24"
9,Limonium Forever Happy,Statice Happy,Statice,Inv 4AB + 4,SIN_DATO,BOTRYTIS,semana 23,CAMPO,GRAVE,CIERRE_GRADUAL,alta,campo_siembras.csv COMENTARIOS,"Produccion increible en semana 21 y 22. Ya en sem 23 y 24 declive productivo. Se enfermaron mucho y odiaron el desyerbe y limpieza basal. Sacamos MUCHA flor con botrytis. Sem24: 15 semanas campo. Colapso productivo confirmado con fotos. Pudricion cuello activa. 2 tallos promedio/planta — BAJO. Necrosis basal severa en camas mas antiguas. Cantus sem25. NO sembrar lisianthus ni campanula en estas camas inmediatamente — ciclo biosupresor primero (gomphrena o matricaria)."
10,Lisianthus Megalo Orange Deep,Lisianthus Rosado,Lisianthus,Mini + 3C + 3B,SIN_DATO,FUSARIUM,semana 20,CAMPO,GRAVE,MORTALIDAD_EN_CAMPO,alta,campo_siembras.csv COMENTARIOS,"En semana 20 segunda labor de desyerbe, mucha mortalidad en campo por fusarium"
