cohorte,categoria,input,cantidad,unidad,frecuencia,periodo,costeable,fuente,notas
Lisianthus 2026-S10-Mini3C+3B,PREPARACION_CAMA,Protocolo v7 CON cotes,,,1 vez,antes del trasplante sem 10,PARCIAL,Vanessa 2026-09-11 (dictado),"'la preparacion de camas fue mayor porque la preparamos con cotes'. Es el protocolo v7 (Haifa Cote NP + Cote NPK + Naturcomplet-G + Safer Terra Life + Bokashi). LOS COTES SALIERON DE LA FORMULA el 2026-09-03 en la v8, asi que esta cohorte carga la preparacion MAS CARA que se hizo en la finca y las siguientes no la van a tener. Ver 01-infraestructura/06-formulacion-camas-v8.md"
Lisianthus 2026-S10-Mini3C+3B,PREPARACION_CAMA,Haifa Cote NP + Cote NPK,100,g/m2,1 vez,preparacion,SI,protocolo v7 + 06-costos/03,"relacion NP:NPK 1:2. $9.837/kg y $9.598/kg -> $968/m2. Sobre 231,6 m2 = $224.135. Es el 50-57% del costo de preparar la cama segun 06-costos/03-costo-preparacion-camas.md"
Lisianthus 2026-S10-Mini3C+3B,PREPARACION_CAMA,Safer Terra Life GR,100,g/m2,1 vez,preparacion,SI,protocolo v7,"$2.200/kg -> $220/m2. Sobre 231,6 m2 = $50.952"
Lisianthus 2026-S10-Mini3C+3B,PREPARACION_CAMA,Micorrizas,,,1 vez,preparacion,NO,Vanessa 2026-09-11 (dictado),"'Terra Life, micorrizas, esta obtuvo todo eso'. Dosis sin confirmar para esta cohorte"
Lisianthus 2026-S10-Mini3C+3B,COBERTURA,Plastico / acolchado,0,,NO SE PUSO,todo el ciclo,SI,Vanessa 2026-09-11 (dictado),'despues no se le coloco plastico'. ES LA CAUSA RAIZ de las 5 labores culturales: sin acolchado la maleza obliga a desyerbar. Ahorro de material contra costo de mano de obra repetida
Lisianthus 2026-S10-Mini3C+3B,FERTILIZACION,Fertirriego,,,solo el primer mes,sem 10 a ~14,NO,Vanessa 2026-09-11 (dictado),"'llevo fertilizacion solamente el primer mes, despues solo se ha arreglado con agua, no ha llevado nada de fertilizacion'. DATO FUERTE: 6.926 tallos salieron con un mes de fertilizacion y 22 semanas de solo agua, sobre una cama preparada con cotes de liberacion lenta"
Lisianthus 2026-S10-Mini3C+3B,INOCULACION,Drench de inoculacion radicular,20,L por bomba,2 a 3 drenches,ciclo,NO,Vanessa 2026-09-11 (dictado),"'dos o tres drench de inoculacion radicular, con el operario, bomba de espalda de 20 litros'. Falta el producto y la dosis. Ver 02-nutricion/03-drench-inoculacion.md"
Lisianthus 2026-S10-Mini3C+3B,FITOSANIDAD,Bombas contra oidio — fase de choque,3,bombas/semana,3 semanales,~2 meses (~9 semanas) = ~27 bombas,NO,Vanessa 2026-09-11 (dictado),"'todas las bombas del oidio, llego durante un momento que yo creo que fue dos meses, llevo tres bombas semanales'. Es EL costo variable grande de esta cohorte y el que explica el 25% de mortalidad en cama. aplicaciones_historial.csv solo tiene 1 fila que toque Lisianthus"
Lisianthus 2026-S10-Mini3C+3B,FITOSANIDAD,Bombas contra oidio — fase de control,1-2,bombas/semana,"1 semanal, a veces 2",el resto del ciclo (~16 semanas) = 16 a 32 bombas,NO,Vanessa 2026-09-11 (dictado),"'luego llego en control una bomba semanal, a veces dos, en todo el resto del ciclo'"
Lisianthus 2026-S10-Mini3C+3B,LABOR_CULTURAL,Desyerbe y labores culturales,5,veces,al menos 5 en el ciclo,ciclo,NO,Vanessa 2026-09-11 (dictado),"'por lo menos cinco veces, por el hecho de que no tiene plastico'. campo_siembras.csv corrobora: 'en semana 20 segunda labor de desyerbe' y 'ya hemos hecho 3 desyerbes'. Faltan HORAS"
