siembra,categoria,input,cantidad,unidad,frecuencia,periodo,costeable,fuente,notas
Lisianthus 2026-S10-Mini3C+3B,PREPARACION_CAMA,Protocolo v7 CON cotes,,,1 vez,antes del trasplante sem 10,PARCIAL,Vanessa 2026-09-11 (dictado),"'la preparacion de camas fue mayor porque la preparamos con cotes'. Protocolo v7 (Haifa Cote NP + NPK + Naturcomplet-G + Safer Terra Life + Bokashi + micorrizas). LOS COTES SALIERON en la v8 el 2026-09-03, asi que esta siembra carga la preparacion mas cara que se ha hecho y las siguientes no la van a tener. Ver 01-infraestructura/06-formulacion-camas-v8.md"
Lisianthus 2026-S10-Mini3C+3B,PREPARACION_CAMA,Haifa Cote NP + Cote NPK,100,g/m2,1 vez,preparacion,SI,Vanessa 2026-09-11 (dictado),"NP:NPK 1:2. $9.837/kg y $9.598/kg -> $968/m2. Sobre 231,6 m2 = $224.135. Es el 50-57% del costo de preparar una cama (06-costos/03)"
Lisianthus 2026-S10-Mini3C+3B,PREPARACION_CAMA,Safer Terra Life GR,100,g/m2,1 vez,preparacion,SI,Vanessa 2026-09-11 (dictado),"$2.200/kg -> $220/m2. Sobre 231,6 m2 = $50.952"
Lisianthus 2026-S10-Mini3C+3B,PREPARACION_CAMA,Micorrizas,,,1 vez,preparacion,NO,Vanessa 2026-09-11 (dictado),"'Terra Life, micorrizas, esta obtuvo todo eso'. Dosis sin confirmar"
Lisianthus 2026-S10-Mini3C+3B,COBERTURA,Plastico / acolchado — NO SE PUSO,193,"m lineales de cama (231,6 m2 / 1,20 m)",decision deliberada,todo el ciclo,ESTIMADO,Vanessa 2026-09-11 (dictado),"RAZON: 'para prevenir un tema de fusarium que despues no pudiesemos controlar por exceso de humedad'. RESULTADO: 'pero eso termino saliendome muy caro'. PRECIO ESTIMADO (Vanessa 2026-09-11, sin confirmar): rollo de 100 m a ~$200.000 'y pico'. 193 m de cama = 2 rollos = $400.000 a $500.000. NO ESTA EN EL BUSINESS PLAN: verificado el 2026-09-11 contra 'Business Plan Realista DCB' (ID 1ehW49huSrFWrfFz4bmtH9azqRT00tCBHdAHQ-JxFq30) — no hay renglon de plastico ni acolchado ni la palabra 'rollo'; lo unico parecido es Polisombra $1.500.000, que es otra cosa. Los insumos van en UNA sola linea agregada de $10.000.000/ano. CONTRA los hasta $1.500.000 que costo NO ponerlo en mano de obra: el plastico era 3x mas barato"
Lisianthus 2026-S10-Mini3C+3B,FERTILIZACION,Fertirriego,,,solo el primer mes,"sem 10 a ~14, despues SOLO AGUA",NO,Vanessa 2026-09-11 (dictado),"RAZON DE PARARLO: 'teniamos estres y pensamos que tuvimos picos de salinidad, juntando los cotes con el fertirriego'. RESULTADO: 'al parar el fertirriego les fue muchisimo mejor'. 6.926 tallos salieron con un mes de fertirriego y ~22 semanas de agua sola"
Lisianthus 2026-S10-Mini3C+3B,INOCULACION,Drench radicular — volumen total,6,bombas de 20 L = 120 L,2 a 3 drenches,ciclo,NO,Vanessa 2026-09-11 (dictado),"'creo que eran mas o menos seis bombas de veinte litros'. Bomba de espalda, con operario"
Lisianthus 2026-S10-Mini3C+3B,INOCULACION,Drench — productos en rotacion,,,alternados entre los 4,ciclo,PARCIAL,Vanessa 2026-09-11 (dictado),Fitoderma (Trichoderma+Bacillus) 600 g/tanque · Estabios (Azotobacter+Pseudomonas) 3.000 cc/tanque — ambos en 03-fitosanidad/02-inventario-insumos.md. Natural W CP · Endorriza: SIN FICHA en el repo. Ver 02-nutricion/03-drench-inoculacion.md
Lisianthus 2026-S10-Mini3C+3B,FITOSANIDAD,Una aplicacion completa de Lisianthus,4,bombas de 25 L = 100 L,por aplicacion,unidad de medida,SI,Vanessa 2026-09-11 (dictado),"'para hacer una aspersion completa suelen ser cuatro bombas de espalda de 25 litros'. ES LA UNIDAD QUE FALTABA: con el costo por tanque del inventario, cada aplicacion se puede costear"
Lisianthus 2026-S10-Mini3C+3B,FITOSANIDAD,Oidio — fase de choque,3,aplicaciones/semana,3 semanales,~2 meses (~9 sem) = ~27 aplicaciones = ~2.700 L,PARCIAL,Vanessa 2026-09-11 (dictado),"'cuando teniamos el oidio mas fuerte'. El choque es la bomba 'Choque Botrytis+Oidio' del protocolo, con Heveanna o con Timorex Gold. DOSIS COMPLETA CONOCIDA: cada aplicacion son 4 tanques de 25 L, o sea 4x la dosis de tabla. Falta el PRECIO por producto — costos_productos.csv sigue vacio"
