GRUPO,OPCIONES (en orden),,,,,,,,,,,,,,,,,
Boca de Dragón,Mix,Monaco Dark Pink,Monaco Orange,Monaco Plumblossom,Monaco Red,Opus Fresh,Opus Appleblossom,Opus Pink,Potomac Royal,Potomac Crimson,Cannes Red,Cannes Pink,Cannes Lavender,Cannes Light Bronze,Cannes Red Delight,MB Ivory,MB Bronze,Forever Happy
Gomphrena,Mix,Quis Carmine,Quis Sequin,Quis Pink,Audrey White,Raspberry Cream,Salmon Pastel,,,,,,,,,,,Forever Silver
Campanula,Mix,Champion Pink,Champion White,Champion Lavender,,,,,,,,,,,,,,Hipster White
Statice,Mix,Forever Happy,Ruso,Hipster White,Forever Silver,Hipster Apricot,,,,,,,,,,,,Hipster Apricot
Zinnia,Mix,Aurora,Ballerina,Linen,Benary Giant Bright Pink,Floret Golden Hour,Floret Victorian Wedding,,,,,,,,,,,Ruso
Celosia,Mix,Shimmer Mix,Rose Gold,Raspberry Lemonade,Spun Sugar,Summer Sherbet,Dreams Mix,Cristata Verda Green,,,,,,,,,,
Amaranto,Mix,Emerald Tails,Velvet Curtains,Love Lies Bleeding,Coral Fountain,Mira,,,,,,,,,,,,
Larkspur,Mix,Misty Lavender,Light Blue,,,,,,,,,,,,,,,
Ammi,Ammi Majus,,,,,,,,,,,,,,,,,
Matricaria,Mix,Snowball,Vegmo Single,,,,,,,,,,,,,,,
Strawflower,Mix,Apricot,Cranberry Rose,Silvery Rose,Bright Rose,Purple Red,Apricot Peach,,,,,,,,,,,
Ammobium,Ammobium Alatum,,,,,,,,,,,,,,,,,
Green Ball,Punky Ball,,,,,,,,,,,,,,,,,
Girasol,Pro Cut White Lite,,,,,,,,,,,,,,,,,
Trachellium,Mix,White Lake,Purple Lake,,,,,,,,,,,,,,,
Dusty Miller,Silver Dust,New Look,,,,,,,,,,,,,,,,
Lisianthus,Mix,Megalo Orange Deep,Jolly 3 Pink,Megalo 3 Pink Rim,Megalo 3 Pink Pop,Celeb 2 Madonna,Celeb 2 Apricot,Corelli I Yellow,Megalo I Yellow,Celeb 2 Crystal,Celeb 2 White Imp,Celeb 2 Lovely Pink,,,,,,
Limonium,Ruso,,,,,,,,,,,,,,,,,
