semana_siembra,variedad,nombre_homologado,bloque,plantas,mes_cosecha,sem_inicio_cosecha,sem_fin_cosecha,origen_fin,estado,origen_inicio,nota_campo,fuente_correccion
28,Achillea Cerise Queen,Achillea Cerise Queen,6 EXT,1000,ENERO,1,3,estimado(ventana 3),Activa,proyectado (PROGRAMACION_2026 v8),,
28,Achillea Cloth of God,Achillea Cloth of God,6 EXT,3342,ENERO,1,3,estimado(ventana 3),Activa,proyectado (PROGRAMACION_2026 v8),,
5,Dahlias,Dalia Ball Linda's Baby,2,100,ABRIL,16,19,estimado(ventana 4),Activa,proyectado (PROGRAMACION_2026 v8),,
8,Gomphrena Quis Carmine,Quis Carmine,CAMAS BAJAS 3A,2785,MAYO,21,26,estimado(ventana 6),Activa,proyectado (PROGRAMACION_2026 v8),,
9,Ammi Majus,Ammi Majus,6,1370,MADRES,21,24,estimado(ventana 4),Activa,proyectado (PROGRAMACION_2026 v8),,
14,Zinnia Linen,Zinnia Linen,4B,324,JULIO,22,25,estimado(ventana 4),Activa,proyectado (PROGRAMACION_2026 v8),,
14,Zinnias Floret,Zinnia Golden Hour,4B,393,JULIO,22,25,estimado(ventana 4),Activa,proyectado (PROGRAMACION_2026 v8),,
11,Ammi Visnaga,Ammi Majus,6,1728,JUNIO,23,25,declarado,Activa,proyectado (PROGRAMACION_2026 v8),,
18,"Zinnia Aurora, Bailarina, Benary",Zinnia Aurora,4B,,JULIO,23,26,estimado(ventana 4),Activa,proyectado (PROGRAMACION_2026 v8),,
9,Strawflower Apricot,Strawflower Apricot,6,4490,JUNIO,24,29,estimado(ventana 6),Activa,proyectado (PROGRAMACION_2026 v8),,
9,Strawflower Cranberry Rose,Strawflower Cranberry Rose,6,2759,JUNIO,24,29,estimado(ventana 6),Activa,proyectado (PROGRAMACION_2026 v8),,
9,Green Ball,Dianthus Green Ball,4A,800,JUNIO,24,26,estimado(ventana 3),Activa,proyectado (PROGRAMACION_2026 v8),,
14,Snapdragon Monaco Plumblossom,Monaco Plumblossom,5,1918,JUNIO,24,28,declarado,Activa,proyectado (PROGRAMACION_2026 v8),,
16,Amaranto Love Lies Bleeding,Love Lies Bleeding,3A,1067,JULIO,24,25,declarado,Activa,proyectado (PROGRAMACION_2026 v8),,
17,Zinnia Benary Giant bright Pink,Zinnia Bright Pink,4B,,AGOSTO,24,27,estimado(ventana 4),Activa,proyectado (PROGRAMACION_2026 v8),,
