grupo,variedad,pct_observado,fuente,notas
Statice,Forever Happy,0.70,homologacion_registro.csv (Vanessa sem23),Lo que realmente sale cuando la receta dice "Statice Mix"
Statice,Forever Silver,0.20,homologacion_registro.csv (Vanessa sem23),Neutro plata
Statice,Hipster White,0.10,homologacion_registro.csv (Vanessa sem23),
Zinnia,Aurora,0.40,homologacion_registro.csv (Vanessa sem23),Camas 4B alta + 4B baja
Zinnia,Floret Golden Hour,0.30,homologacion_registro.csv (Vanessa sem23),
Zinnia,Benary Giant Bright Pink,0.20,homologacion_registro.csv (Vanessa sem23),
Zinnia,Linen,0.10,homologacion_registro.csv (Vanessa sem23),
Boca de Dragón,Monaco Red,0.50,homologacion_registro.csv (Vanessa sem23),Cama compartida sem14 — aplica sem24+
Boca de Dragón,Potomac Crimson,0.50,homologacion_registro.csv (Vanessa sem23),Cama compartida sem14 — aplica sem24+
Gomphrena,Quis Carmine,0.65,homologacion_registro.csv (Vanessa sem23),Actualizar segun Diana
Gomphrena,Quis Sequin,0.20,homologacion_registro.csv (Vanessa sem23),
Gomphrena,Audrey White,0.15,homologacion_registro.csv (Vanessa sem23),
