fecha,grupo,bloque,tallos_mix_originales,cultivar_estimado,metodo,plantas_activas,tasa_usada,fuente_tasa,pct_asignado,tallos_estimados
2026-05-31,Amaranto,3a,84,green tails,partes iguales entre sembradas (sin ventana),,,sin ventana,0.5000,42.0
2026-05-31,Amaranto,3a,84,love lies bleeding,partes iguales entre sembradas (sin ventana),,,sin ventana,0.5000,42.0
2026-06-01,Amaranto,3a,50,green tails,partes iguales entre sembradas (sin ventana),,,sin ventana,0.5000,25.0
2026-06-01,Amaranto,3a,50,love lies bleeding,partes iguales entre sembradas (sin ventana),,,sin ventana,0.5000,25.0
2026-08-09,Boca de Dragón,3b,220,potomac appleblossom,partes iguales entre sembradas (sin ventana),,,sin ventana,1.0000,220.0
2026-08-10,Boca de Dragón,3b,85,potomac appleblossom,partes iguales entre sembradas (sin ventana),,,sin ventana,1.0000,85.0
2026-08-02,Celosia,3a,100,floret rosados corales,tasa,1200,0.00960,de grupo,0.3114,31.1
2026-08-02,Celosia,3a,100,shimmer mix,tasa,2654,0.00960,de grupo,0.6886,68.9
2026-08-03,Celosia,3a,200,floret rosados corales,tasa,1200,0.00960,de grupo,0.3114,62.3
2026-08-03,Celosia,3a,200,shimmer mix,tasa,2654,0.00960,de grupo,0.6886,137.7
2026-08-04,Celosia,3a,120,floret rosados corales,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,24.0
2026-08-04,Celosia,3a,120,floret raspberry lemonade,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,24.0
2026-08-04,Celosia,3a,120,shimmer mix,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,24.0
2026-08-04,Celosia,3a,120,cristata verda green,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,24.0
2026-08-04,Celosia,3a,120,cristata enda rose,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,24.0
2026-08-05,Celosia,3a,200,floret rosados corales,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,40.0
2026-08-05,Celosia,3a,200,floret raspberry lemonade,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,40.0
2026-08-05,Celosia,3a,200,shimmer mix,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,40.0
2026-08-05,Celosia,3a,200,cristata verda green,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,40.0
2026-08-05,Celosia,3a,200,cristata enda rose,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,40.0
2026-08-07,Celosia,3a,370,floret rosados corales,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,74.0
2026-08-07,Celosia,3a,370,floret raspberry lemonade,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,74.0
2026-08-07,Celosia,3a,370,shimmer mix,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,74.0
2026-08-07,Celosia,3a,370,cristata verda green,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,74.0
2026-08-07,Celosia,3a,370,cristata enda rose,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,74.0
2026-08-09,Celosia,3a,190,floret rosados corales,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,38.0
2026-08-09,Celosia,3a,190,floret raspberry lemonade,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,38.0
2026-08-09,Celosia,3a,190,shimmer mix,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,38.0
2026-08-09,Celosia,3a,190,cristata verda green,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,38.0
2026-08-09,Celosia,3a,190,cristata enda rose,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,38.0
2026-08-11,Celosia,3a,280,floret rosados corales,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,56.0
2026-08-11,Celosia,3a,280,floret raspberry lemonade,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,56.0
2026-08-11,Celosia,3a,280,shimmer mix,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,56.0
2026-08-11,Celosia,3a,280,cristata verda green,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,56.0
2026-08-11,Celosia,3a,280,cristata enda rose,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,56.0
2026-08-12,Celosia,3a,500,floret rosados corales,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,100.0
2026-08-12,Celosia,3a,500,floret raspberry lemonade,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,100.0
2026-08-12,Celosia,3a,500,shimmer mix,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,100.0
2026-08-12,Celosia,3a,500,cristata verda green,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,100.0
2026-08-12,Celosia,3a,500,cristata enda rose,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,100.0
2026-08-13,Celosia,3a,300,floret rosados corales,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,60.0
2026-08-13,Celosia,3a,300,floret raspberry lemonade,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,60.0
2026-08-13,Celosia,3a,300,shimmer mix,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,60.0
2026-08-13,Celosia,3a,300,cristata verda green,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,60.0
2026-08-13,Celosia,3a,300,cristata enda rose,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,60.0
2026-08-14,Celosia,3a,200,floret rosados corales,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,40.0
2026-08-14,Celosia,3a,200,floret raspberry lemonade,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,40.0
2026-08-14,Celosia,3a,200,shimmer mix,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,40.0
2026-08-14,Celosia,3a,200,cristata verda green,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,40.0
2026-08-14,Celosia,3a,200,cristata enda rose,partes iguales entre sembradas (sin ventana),,,sin ventana,0.2000,40.0
2026-08-09,Colitas de conejo,2,200,bunny tails,partes iguales entre sembradas (sin ventana),,,sin ventana,1.0000,200.0
2026-08-11,Colitas de conejo,2,200,bunny tails,partes iguales entre sembradas (sin ventana),,,sin ventana,1.0000,200.0
2026-08-09,Dahlias,2,50,dahlias,partes iguales entre sembradas (sin ventana),,,sin ventana,1.0000,50.0
2026-08-12,Dahlias,2,40,dahlias,partes iguales entre sembradas (sin ventana),,,sin ventana,1.0000,40.0
2026-08-13,Dahlias,2,35,dahlias,partes iguales entre sembradas (sin ventana),,,sin ventana,1.0000,35.0
2026-06-01,Dusty Miller,5,13,dusty new look,partes iguales entre sembradas (sin ventana),,,sin ventana,1.0000,13.0
