semana_siembra,variedad,nombre_homologado,bloque,plantas_trasplantadas,pct_mortalidad,causa,semana_observacion,fuente
18,Ammi Majus,Ammi Majus,5,1644,,,,
18,Campanula Champion Lavender,Campanula Lavender,3A,2192,,,,
18,Campanula Champion White,Campanula White,3A,1096,,,,
18,Celosias Dreams,Dreams Mix,2,2600,,,,
18,Dusty Miller New Look,Dusty New Look,,1464,,,,
18,Matricaria Snowball,Matricaria Snowball,4A,1918,,,,
18,Snapdragon Cannes Lavender,Cannes Lavender,4C,3186,,,,
18,Snapdragon Cannes Pink,Cannes Pink,4C,2540,,,,
18,Snapdragon Cannes Red,Cannes Red Delight,3C,2582,,,,
18,"Zinnia Aurora, Bailarina, Benary",Zinnia Aurora,4B,,,,,
20,Amaranto Green Tails,Green Tails,5,1600?,,,,
20,Celosia Raspberry Lemonade,Floret Raspberry Lemonade,3A,1158,,,,
20,Celosia Rose Gold,Floret Rosados Corales,3A,1231,,,,
20,Celosia Shimmer,Shimmer Mix,3A,2654,,,,
20,Snapdragon Cannes Light Bronze,Cannes Light Bronze,3c,3517,,,,
20,Snapdragon Cannes Red Delight,Cannes Red Delight,4a,2793,,,,
21,Ammobium Winged Everlasting,Ammobium Alatum,3 EXT,4757,,,,
21,Celosias Dreams,Dreams Mix,2,2467,,,,
21,Green ball punky ball,Dianthus Green Ball,4B,896,,,,
21,Strawfloer Purple Red,Strawflower Cranberry Rose,3EXT,790,,,,
21,Strawflower Apricot Peach,Strawflower Apricot Peach,3EXT,994,,,,
21,Strawflower Bright Rose,Strawflower Bright Rose,3EXT,891,,,,
21,Strawflower Silvery Rose,Strawflower Silvery Rose,3EXT,800,,,,
22,Amaranto Mira,Mira,2,,,,,
22,Ammi Majus,Ammi Majus,3EXT,,,,,
22,Campanula Blanca,Campanula White,5,,,,,
22,Campanula Lavender,Campanula Lavender,5,,,,,
22,Dusty Miller New Look,Dusty New Look,3B,,,,,
22,Gomphrena Quis Pink,Quis Pink,2,447,,,,
22,Gomphrena Salmon Pastel,Salmon Pink,4B,730,,,,
22,Lisianthus,Lisianthus Blanco,3B,,,,,
22,Matricaria Single Vegmo,Matricaria Vegmo,5,,,,,
22,Snapdragon Opus Appleblossom,Opus Appleblossom,3C,,,,,
22,Snapdragon Opus Appleblossom,Opus Appleblossom,3b,,,,,
22,Snapdragon Opus Pink,Opus Pink,3B,,,,,
23,Dusty Miller New Look,Dusty New Look,5,,,,,
23,Gomphrena Quis Carmine,QIS Carmine,5,,,,,
23,Matricaria Vegmo Single,Matricaria Vegmo,4A,,,,,
23,Snapdragon Opus White Fresh,Opus Fresh,3C,288,,,,
23,Trachellium White Lake,Trachelium White,5 y 3C,2000,,,,
24,Celosia Cristata Clubs Cocktail,Cristata Clubs Cocktail,4A,1978,,,,
24,Celosia Cristata Enda Rose,Cristata Enda Rose,3A,4264,,,,
24,Celosia Cristata Reprise Orange,Cristata Reprise Orange,4A,693,,,,
24,Snapdragon Cannes Light Bronze,Cannes Light Bronze,3A,1414,,,,
24,Snapdragon Prueba Antibes Apricot 1 F1,,3A,39,,,,
24,Snapdragon Prueba Avignon Apricot 2 F1,,3A,26,,,,
24,Snapdragon Prueba Avignon Light Rose 2 F1,,3A,20,,,,
24,Snapdragon Prueba Avignon Pink 2,,3A,43,,,,
24,Snapdragon Prueba Avignon Silver 2 F1,,3A,45,,,,
24,Snapdragon Prueba Bridal Pink F1,,3A,44,,,,
24,Snapdragon Prueba Double F Apricot 2 F1,,3A,57,,,,
25,Achillea Cerise Queen,,6 EXT,1000,,,,
25,Achillea Cloth of God,,6 EXT,3342,,,,
25,Campanula Champion Pink,Campanula Pink,4C,3014,,,,
25,Carthamus Zanzibar,Dianthus Sweet Cherry,4A,1900,,,,
25,Cynoglossum Blue,,2,597,,,,
25,Dianthus Sweet Cherry,Dianthus Sweet Cherry,4A,1918,,,,
25,Dusty Miller?,Dusty New Look,,,,,,
25,Gomphrena Quis Carmine,QIS Carmine,5,1662,,,,
25,Gomphrena Quis Pink,Quis Pink,4A y 4B y 2,1508,,,,
25,Scabiosa Triple Berry Mix,,2,446,,,,
25,Statice Forever Silver,Forever Silver,3C,1647,,,,
26,Dianthus Sweet Cherry,Dianthus Sweet Cherry,4A,,,,,
26,Snapdragon Opus Appleblossom,Opus Appleblossom,4A,,,,,
27,Campanula Champion White,Campanula White,3C,,,,,
27,Snapdragon Opus White Fresh,Opus Fresh,3A,,,,,
27,Strawflower Copper Red,Strawflower Cranberry Rose,Ext,400,,,,
27,Strawflower King Size Red,Strawflower Cranberry Rose,Ext,1800,,,,
27,Strawflower Vintage White,Strawflower Vintage White,Ext,881,,,,
28,Achillea,,Ext 3,,,,,
28,Dianthus Green Ball,Dianthus Green Ball,3A,,,,,
28,Girasol ProCut White Lite,Girasol White Lite,4A,,,,,
28,Statice Forever Silver,Forever Silver,3B,,,,,
