producto,formulacion,paso,fuente,notas
ADNGard,polvo,1,regla general de mezcla (polvos primero),aminoacidos+Ca en polvo -- se dosifica en g
No Fly,polvo mojable (WP),1,regla general de mezcla (polvos primero),Paecilomyces -- se dosifica en g
Safer Mix WP,polvo mojable (WP),1,regla general de mezcla (polvos primero),
Equifun,liquido,2,regla general de mezcla,extracto de cola de caballo + silicio
Hevea brasiliensis beta,liquido,2,regla general de mezcla,
Regalia,liquido,2,regla general de mezcla,
Solar,liquido,2,regla general de mezcla,formulacion por confirmar con la ficha
ADN Green,liquido,2,regla general de mezcla,extracto de Stemona
Starzyme,liquido,3,regla general de mezcla (solubles y nutricionales despues),aminoacidos + vitaminas
Glukoplant Ca-BZn,liquido nutricional,3,regla general de mezcla (solubles y nutricionales despues),
Naturmix-L,liquido nutricional,3,regla general de mezcla (solubles y nutricionales despues),
Amicos MC nt (Mn+Zn),liquido nutricional,3,regla general de mezcla (solubles y nutricionales despues),
Neofat,coadyuvante,0,FICHA Neofat: agua + Neofat primero,encapsulador: va PRIMERO (corrige la regla general)
