casa,producto,categoria,presentacion,precio_cop,iva_pct,unidad,cop_por_unidad_con_iva,fuente
CAMPOFERT,CAMPOFERT HUMUS 15,ACOND SUELOS,BIDON X 1 LT,27556,0,L,27556,Lista de precios distribuidor · Agosto 2026 · hoja LP ANT1_Ago
CAMPOFERT,CAMPOFERT HUMUS 15,ACOND SUELOS,CANECA X 20 LT,523296,0,L,26165,Lista de precios distribuidor · Agosto 2026 · hoja LP ANT1_Ago
CAMPOFERT,MOLIB-K,MICROS,BOLSA X 500 GR,92800,0,kg,185600,Lista de precios distribuidor · Agosto 2026 · hoja LP ANT1_Ago
COLINAGRO,KLIP BORO,MICROS,BOLSA X 1 KG,20085,19,kg,23901,Lista de precios distribuidor · Agosto 2026 · hoja LP ANT1_Ago
COSMOAGRO,KELATEX CU,MICROS,BOLSA X 1 KG,50281,0,kg,50281,Lista de precios distribuidor · Agosto 2026 · hoja LP ANT1_Ago
INNOVAK,CARBOXY CA,FOLIAR,BIDON X 1 LT,28550,0,L,28550,Lista de precios distribuidor · Agosto 2026 · hoja LP ANT1_Ago
INNOVAK,CARBOXY CA,FOLIAR,CANECA X 10 LT,268860,0,L,26886,Lista de precios distribuidor · Agosto 2026 · hoja LP ANT1_Ago
INNOVAK,PROMESOL CALCIO,ACOND SUELOS,CANECA X 20 LT,532397,0,L,26620,Lista de precios distribuidor · Agosto 2026 · hoja LP ANT1_Ago
INNOVAK,PROMESOL CALCIO,ACOND SUELOS,CANECA X 10 LT,311452,0,L,31145,Lista de precios distribuidor · Agosto 2026 · hoja LP ANT1_Ago
INNOVAK,PROMESOL CALCIO,FOLIAR,BIDON X 1 LT,32676,0,L,32676,Lista de precios distribuidor · Agosto 2026 · hoja LP ANT1_Ago
INTEROC,NOVAPLANT CA+B+ZN,FOLIAR,BIDON X 1 LT,41527,0,L,41527,Lista de precios distribuidor · Agosto 2026 · hoja LP ANT1_Ago
INTEROC,NOVAPLANT CA+B+ZN,FOLIAR,CANECA X 20 LT,643085,0,L,32154,Lista de precios distribuidor · Agosto 2026 · hoja LP ANT1_Ago
