producto,ingrediente,concentracion,unidad,fuente
Raxter Mix SC,Metarhizium anisopliae,2.0e8,UFC/cc,FICHA FT8030 v2
Raxter Mix SC,Beauveria bassiana,2.0e8,UFC/cc,FICHA FT8030 v2
Raxter Mix SC,Bacillus thuringiensis kurstaki,2.0e8,UFC/cc,FICHA FT8030 v2
Raxter Mix SC,Bacillus popilliae,2.0e8,UFC/cc,FICHA FT8030 v2
Safer Mix WP,Beauveria bassiana + Metarhizium anisopliae + Lecanicillium lecanii + Bacillus thuringiensis,1.0e9,UFC/g (total),FICHA (Vanessa 2026-09-22)
Amicos MC nt,Mn,1,% p/p,FICHA rev.2
Amicos MC nt,Zn,1,% p/p,FICHA rev.2
Anisagro,Metarhizium anisopliae,1.0e8,esporas/g,"web, NO ficha"
Anisagro,Bacillus popilliae,1.0e6,UFC/g,"web, NO ficha"
Deep Green,Metarhizium anisopliae,1.0e9,conidios/cc,"web, NO ficha"
