articulo_ball,semana_entrega_iso,plantulas,estado,fuente
AMMI VISNAGA WHITE SPRAY,27,1370,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
AMMI VISNAGA WHITE SPRAY,31,1644,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
AMMI VISNAGA WHITE SPRAY,34,1644,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
AMMI VISNAGA WHITE SPRAY,36,1644,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
AMMI VISNAGA WHITE SPRAY,39,1644,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
CAMPANULA CHAMPION II PINK,32,1370,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
CAMPANULA CHAMPION II PINK,35,1370,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
CAMPANULA CHAMPION II WHITE,28,1918,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
CAMPANULA CHAMPION II WHITE,32,1644,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
CAMPANULA CHAMPION II WHITE,35,1644,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
CAMPANULA CHAMPION II WHITE,37,3014,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
CAMPANULA CHAMPION II WHITE,41,1096,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
CELOSIA CELWAY RED,31,1644,DESCARTADA - Vanessa 2026-09-03,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
CELOSIA CELWAY RED,35,1644,DESCARTADA - Vanessa 2026-09-03,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
CELOSIA CELWAY RED,37,1096,DESCARTADA - Vanessa 2026-09-03,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
CELOSIA PURPLE FLAMINGO,27,1096,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
CELOSIA PURPLE FLAMINGO,35,1096,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
CELOSIA PURPLE FLAMINGO,39,1096,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
CELOSIA PURPLE FLAMINGO,45,1644,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
DIANTHUS SWEET CHERRY,25,1918,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
DIANTHUS SWEET CHERRY,33,1918,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
DIANTHUS SWEET CHERRY,35,1918,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
DIANTHUS SWEET CHERRY,37,1918,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
GOMPHRENA QIS CARMINE,30,1918,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
GOMPHRENA QIS CARMINE,42,1096,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
GOMPHRENA QIS ORANGE,27,1096,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
GOMPHRENA QIS RED,27,1918,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
GOMPHRENA QIS RED,30,1918,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
GOMPHRENA QIS RED,34,1370,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
GOMPHRENA QIS RED,42,1096,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
MARIGOLD WHITE SWAN,26,2740,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
MARIGOLD WHITE SWAN,27,1370,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
MATRICARIA VEGMO SNOWBALL EXTRA,30,822,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
MATRICARIA VEGMO SNOWBALL EXTRA,31,822,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
MATRICARIA VEGMO SNOWBALL EXTRA,33,1728,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
MATRICARIA VEGMO SNOWBALL EXTRA,36,1728,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
MATRICARIA VEGMO SNOWBALL EXTRA,39,1728,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
PTILOTUS MATILDA,51,1644,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SENECIO CINERARIA NEW LOOK,25,1464,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SENECIO CINERARIA NEW LOOK,28,1464,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SENECIO CINERARIA NEW LOOK,31,1464,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SENECIO CINERARIA NEW LOOK,34,976,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SENECIO CINERARIA NEW LOOK,39,1464,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SENECIO CINERARIA SILVERDUST,25,1464,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SENECIO CINERARIA SILVERDUST,28,1464,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SENECIO CINERARIA SILVERDUST,31,1464,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SNAPDRAGON MONACO PINK DARK GX4499,30,1918,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SNAPDRAGON MONACO PINK DARK GX4499,34,1918,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SNAPDRAGON MONACO PINK DARK GX4499,36,1918,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SNAPDRAGON OPUS  LAVENDER,30,1918,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SNAPDRAGON OPUS  LAVENDER,32,1918,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SNAPDRAGON OPUS III/IV WHT FRSH,27,822,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SNAPDRAGON OPUS III/IV WHT FRSH,29,822,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SNAPDRAGON OPUS III/IV WHT FRSH,32,548,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SNAPDRAGON OPUS III/IV WHT FRSH,34,1370,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SNAPDRAGON OPUS III/IV WHT FRSH,36,1918,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SNAPDRAGON OPUS III/IV WHT FRSH,39,1370,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SNAPDRAGON OPUS III/IV WHT FRSH,40,1370,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SNAPDRAGON OPUS RED,26,3014,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SNAPDRAGON OPUS RED,33,1918,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SNAPDRAGON OPUS RED,36,1918,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SNAPDRAGON POTOMAC APPLEBLOSS,37,3014,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SNAPDRAGON POTOMAC APPLEBLOSS,38,1918,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SNAPDRAGON POTOMAC APPLEBLOSS,40,1918,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SNAPDRAGON POTOMAC PLUMBLOSSOM,32,1918,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SNAPDRAGON POTOMAC PLUMBLOSSOM,34,1918,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SUNFLOWER PRO CUT RED,33,1520,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SUNFLOWER PRO CUT RED,35,1520,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SUNFLOWER PRO CUT RED,37,1520,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
SUNFLOWER PRO CUT WHITE LITE,25,950,confirmada,"Confirmacion David.xlsm (Ball Colombia), Drive 1U_FWCnHXO05RDrmGR7QNR0fMdu9UtiJ6, 2026-09-03"
