Fecha,Grupo,Variedad / Serie,Tallos frescos,Tallos secos,Bloque,¿Cierre cama?,Notas,,CLAVE_LOTE (auto)
dd/mm/aaaa,seleccionar grupo,se llena con desplegable,solo frescos,los que van a seco,"ej: 4A, 3B, Inv5",escribir CIERRE,observación del día,,
2026-05-31,Statice,Mix,73,,Inv4,,,,Statice|Mix|Inv4
2026-05-31,Statice,Mix,55,,Inv4,,,,Statice|Mix|Inv4
2026-05-31,Statice,Mix,80,,Inv4,,,,Statice|Mix|Inv4
2026-05-31,Zinnia,Mix,106,,Inv4,,,,Zinnia|Mix|Inv4
2026-05-31,Zinnia,Mix,100,,Inv4,,,,Zinnia|Mix|Inv4
2026-05-31,Green Ball,Punky Ball,260,,Inv4,,,,Green Ball|Punky Ball|Inv4
2026-05-31,Green Ball,Punky Ball,263,,Inv4,,,,Green Ball|Punky Ball|Inv4
2026-05-31,Ammobium,Ammobium Alatum,63,,Exterior,,,,Ammobium|Ammobium Alatum|Exterior
2026-05-31,Strawflower,Mix,47,,Exterior,,,,Strawflower|Mix|Exterior
2026-05-31,Campanula,Mix,91,,Inv 5,,,,Campanula|Mix|Inv 5
2026-05-31,Campanula,Mix,95,,Inv 5,,,,Campanula|Mix|Inv 5
2026-05-31,Amaranto,Mix,84,,Inv 3A,,,,Amaranto|Mix|Inv 3A
2026-05-31,Larkspur,Mix,33,,Inv 3A,,,,Larkspur|Mix|Inv 3A
2026-05-31,Boca de Dragón,Monaco Orange,82,,Inv 4A,,,,Boca de Dragón|Monaco Orange|Inv 4A
2026-05-31,Boca de Dragón,Monaco Dark Pink,65,,Inv 4A,,,,Boca de Dragón|Monaco Dark Pink|Inv 4A
2026-05-31,Gomphrena,Mix,262,,Inv4,,,,Gomphrena|Mix|Inv4
2026-05-31,Girasol,Pro Cut White Lite,32,,Inv 4A,,,,Girasol|Pro Cut White Lite|Inv 4A
2026-05-31,Boca de Dragón,Mix,53,,Inv 4B,,,,Boca de Dragón|Mix|Inv 4B
2026-06-01,Gomphrena,Mix,150,,Inv4,,,,Gomphrena|Mix|Inv4
2026-06-01,Campanula,Mix,50,,Inv 5,,,,Campanula|Mix|Inv 5
2026-06-01,Green Ball,Punky Ball,100,,Inv4,,,,Green Ball|Punky Ball|Inv4
2026-06-01,Dusty Miller,Mix,13,,Inv 5,,,,Dusty Miller|Mix|Inv 5
2026-06-01,Boca de Dragón,Potomac Appleblossom,50,,Inv 4B,,,,Boca de Dragón|Potomac Appleblossom|Inv 4B
2026-06-01,Girasol,Pro Cut White Lite,60,,Inv 4A,,,,Girasol|Pro Cut White Lite|Inv 4A
2026-06-01,Ammi,Ammi Majus,70,,Inv 6,,,,Ammi|Ammi Majus|Inv 6
2026-06-01,Campanula,Mix,78,,Inv 5,,,,Campanula|Mix|Inv 5
2026-06-01,Zinnia,Mix,100,,Inv4,,,,Zinnia|Mix|Inv4
2026-06-01,Amaranto,Mix,50,,Inv 3A,,,,Amaranto|Mix|Inv 3A
2026-06-01,Boca de Dragón,Monaco Orange,114,,Inv 4B,,,,Boca de Dragón|Monaco Orange|Inv 4B
2026-06-01,Boca de Dragón,Monaco Dark Pink,82,,Inv 4B,,,,Boca de Dragón|Monaco Dark Pink|Inv 4B
2026-06-01,Boca de Dragón,Opus Fresh,100,,Inv 4B,,,,Boca de Dragón|Opus Fresh|Inv 4B
2026-06-01,Boca de Dragón,Potomac Crimson,108,,Inv 4B,,,,Boca de Dragón|Potomac Crimson|Inv 4B
2026-06-01,Larkspur,Mix,70,,Inv 3A,,,,Larkspur|Mix|Inv 3A
2026-06-01,Ammobium,Ammobium Alatum,70,,Exterior,,,,Ammobium|Ammobium Alatum|Exterior
2026-06-02,Boca de Dragón,Monaco Orange,80,,Inv 4B,,,,Boca de Dragón|Monaco Orange|Inv 4B
