semana_iso,anio,tallos_estimados,productos_cuantificados,productos_sin_dato
36,2026,11076,14,5
37,2026,11712,16,4
38,2026,13354,15,4
39,2026,10328,12,1
40,2026,10944,13,1
41,2026,9289,15,3
42,2026,10618,18,5
43,2026,16802,23,6
44,2026,19829,22,6
45,2026,20746,24,4
46,2026,18700,20,5
47,2026,17948,21,3
48,2026,16847,21,4
49,2026,15706,21,1
50,2026,18923,17,1
51,2026,17650,13,2
52,2026,10080,4,2
1,2027,1981,3,2
2,2027,1981,3,1
3,2027,2461,4,1
4,2027,5896,4,1
5,2027,4896,3,0
6,2027,4896,3,0
7,2027,1096,2,0
8,2027,1096,2,1
9,2027,0,0,1
10,2027,0,0,1
12,2027,3904,1,0
13,2027,3904,1,0
14,2027,3904,1,1
15,2027,0,0,1
16,2027,0,0,1
17,2027,0,0,1
