semana_iso,anio,producto,grupo,bloque,plantas,tallos_estimados,calidad_dato,origen
36,2026,Matricaria Vegmo,Matricaria,4A,3168,1584,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
36,2026,Forever Silver,Statice,3C,1647,1098,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
36,2026,Campanula Pink,Campanula,4C,3014,1005,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
36,2026,Strawflower Apricot Peach,Strawflower,3EXT,994,994,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
36,2026,Lisianthus Blanco,Lisianthus,3B,2800,933,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
36,2026,Strawflower Bright Rose,Strawflower,3EXT,891,891,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
36,2026,Strawflower Silvery Rose,Strawflower,3EXT,800,800,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
36,2026,Strawflower Cranberry Rose,Strawflower,3EXT,790,790,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
36,2026,Cristata Enda Rose,Celosia cristata,3A + media 4A,4264,711,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
36,2026,Lisianthus Rosado,Lisianthus,Mini 3C Y 3B,2000,667,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
36,2026,Campanula White,Campanula,3C+4C,1918,639,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
36,2026,Lisianthus Pastel,Lisianthus,Mini 3C Y 3B,1045,348,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
36,2026,Lisianthus Rosado,Lisianthus,Mini 3C Y 3B,1000,333,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
36,2026,Lisianthus Rosado,Lisianthus,Mini 3C Y 3B,849,283,estimado: plantas x tallos-planta / semanas de ventana,CAMPO (ya sembrado)
36,2026,Lisianthus Rosado,Lisianthus,Mini 3C Y 3B,SIN_DATO,SIN_DATO,sin numero de plantas registrado,CAMPO (ya sembrado)
