-,SEMANAS GERMINACION,% GERMINACIÓN,SEMANAS SIEMBRA A COSECHA,VENTANA DE COSECHA (SEMANAS),TOTAL SEMANAS EN CAMPO,TOTAL SEMANAS DESDE SEMILLA,DISTANCIA SIEMBRA,DENSIDAD,Net,Pinch,Light,Tallos por planta,Segunda floracion,Observaciones
Amaranto Colgante,5,0.65,9,2,,,15 cm,,1,NO,NO,1,-,El amaranto verde tiene mayor requerimiento hidrico y de frescura que los otros dos para su crecimiento.
Amaranto Velvet,5,0.7,15,2,,,20 cm,,NO,SI,NO,4,-,No olvidar el pinch o salen tallos muy gruesos.
Ammi Dara,6,0.75,20,3,,,15 cm,,2 a 3,NO,NO,2025-05-01,-,"Buscar parte humeda, fresca y colocar saran al inicio si hay mucho verano."
Ammi Majus,5,0.65,13,4,,,15 cm,,2,NO,NO,2025-05-01,,
Ammobium,4,0.8,10,2,,,15 cm,,1,NO,NO,2025-05-01,,
Anemonas,3,,11,16,,,10 cm,,NO,NO,SARAN,12,,"A las 7 semanas comienza una pequena cosecha pero de tallos mas delgados, necesitan 1 mes mas para cosecha constante."
Campanula,7,0.9,13,2,,,7.5 cm,,SI,NO,SI,1,-,
Celosia Shimmer,6,0.9,14,,,,,,,,,,,
Celosia Sylphid,4,0.75,12,2,,,15 cm,,1,NO,NO,2,,"Cuidado con los pulgones, tuvimos perdidas por pulgones negros"
Celosia Celway,4,0.75,13,2,,,15 cm,,1,NO,NO,1,-,
Celosia Cristata,5,0.9,14,1,,,7.5 cm,,1,NO,SI,1,-,
Celosia Flamingo,4,0.75,15,2,,,15 cm,,NO,NO,NO,3,-,
Celosia Plumosa,4,0.75,14,4,,,15 cm,,1,NO,SI,4,-,
Dahlias,3,,12,6,,,15 cm,,1,"Si, semana 4",NO,4,-,
Dianthus Green Ball,,,13,3,,,15 cm,,1,NO,NO,1,,Desbrotar laterales
Dusty Miller,6,0.7,25,4,,,15 cm,,1,NO,NO,8,,"Seleccion de tallos en semana 6,8 y 12"
Girasol Pro Cut,2,0.8,10,2,,,"7,5 cm",,2,No,No,1,,"Los white y plum tienen buena receptividad con clientes pero tienen varias dificultades: primero la rapidez de cosecha, ya las flores aperturadas pueden despetalarse en transito. Luego, sembramos doble densidad y hubo muchas flores chiquitas que no funcionan, el ciente no le gusta. Las Sufill son bellisimas pero tienen una ventana de corte muy rapida, y no tienen la misma percepcion para el cliente que las otras."
Gomphrena,4,0.65,15,3,,,15 cm,,NO,NO,NO,3,,
Larkspur,6,0.7,13,2,,,5 cm,,1,NO,NO,1,,Ambiente fresco y frio
Lisianthus,14,0.6,"19 a 23 primera flor, 16 segunda",4 a 6 primera floracion,29,,"7,5 cm",,2,NO,NO,2,,
Marigold White Swan,4,0.74,9,2,,,15 cm,,SI,NO,Probar la proxima para mayor longitud,2,No,"Lei que se debe pinchar, tambien que la luz puede hacer que se elongen mas los tallos. El bunch deberia ser por 5 tallos, esta vez fue por 7."
Matricaria Single,4,0.7,13,2,,,"7,5 cm",,1,NO,SI,1,,
Matricaria Tetra,4,0.7,13,2,,,"7,5 cm",,1,NO,SI,1,,
Matricaria Snowball,4,0.7,12,1,,,,,,,,1,,
Nigella,4,0.8,12,2,,,"7,5 cm",,1,NO,NO,1,,
Orlaya,5,0.8,9,2,,,15cm,,SI,No,NO,3,,
Ranunculus,3,,14,6,,,20CM,,NO,NO,SARAN,3,,
