fecha,semana_iso,punto,producto,cantidad,precio_unitario,valor_cobrado,forma_pago,producto_receta,observaciones,fuente
2026-04-21,17,Viva Envigado,Bouquet Greenery,1,100000,100000,Transferencia,,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-21,17,Viva Envigado,Bouquet forever Dream pequeño,1,70000,70000,Datafono,,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-21,17,Viva Envigado,Bouquet forever Dream pequeño,1,70000,70000,Transferencia,,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-21,17,Viva Envigado,Bouquet forever Dream pequeño,1,70000,70000,Datafono,,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-21,17,Viva Envigado,Bouquet forever Dream pequeño,1,70000,70000,Datafono,,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-21,17,Viva Envigado,Cosecha Grande,1,125000,125000,Transferencia,Cosecha Grande,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-21,17,Viva Envigado,Dianthus coral,1,45000,40500,Efectivo,,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-21,17,Viva Envigado,Dianthus coral,1,45000,40500,Efectivo,,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-21,17,Viva Envigado,Green ball,1,40000,40000,Efectivo,Green ball (paquete),,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-21,17,Viva Envigado,Green ball y mini green,1,40000,40000,Transferencia,,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-21,17,Viva Envigado,Green ball y mini green,1,40000,40000,Transferencia,,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-22,17,Viva Envigado,Bocas de dragon,1,50000,50000,Transferencia,Bocas de dragón (paquete),,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-22,17,Viva Envigado,Bocas de dragon,1,50000,50000,Datafono,Bocas de dragón (paquete),,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-22,17,Viva Envigado,Bocas de dragon,1,50000,50000,Datafono,Bocas de dragón (paquete),,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-22,17,Viva Envigado,Bouquet Greenery,1,100000,100000,Efectivo,,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-22,17,Viva Envigado,Bouquet Greenery,1,100000,85000,Datafono,,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-22,17,Viva Envigado,Bouquet forever Dream mediano,1,100000,100000,Datafono,,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-22,17,Viva Envigado,Cosecha Grande,1,125000,125000,Efectivo,Cosecha Grande,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-22,17,Viva Envigado,Cosecha Pequeño,1,105000,105000,Datafono,Cosecha Pequeño,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-22,17,Viva Envigado,Dianthus mini green,1,85000,85000,Efectivo,,Se vendió fue un Dianthus con Green ball en 60.000,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-22,17,Viva Envigado,Nigellas,2,40000,80000,Datafono,,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-22,17,Viva Envigado,Nigellas,1,40000,34000,Efectivo,,Se le da descuento ya que se le cayeron varias flores y estaban algo caídas,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-23,17,Viva Envigado,Bouquet forever Dream grande,1,115000,115000,Transferencia,,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-23,17,Viva Envigado,Bouquet forever Dream pequeño,1,70000,70000,Efectivo,,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-23,17,Viva Envigado,Cosecha Grande,1,115000,115000,Efectivo,Cosecha Grande,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-23,17,Viva Envigado,Cosecha Grande,1,115000,115000,Datafono,Cosecha Grande,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-23,17,Viva Envigado,Cosecha Grande,1,115000,115000,Datafono,Cosecha Grande,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-23,17,Viva Envigado,Cosecha Grande,1,125000,100000,Datafono,Cosecha Grande,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-23,17,Viva Envigado,Cosecha Pequeño,1,105000,85000,Datafono,Cosecha Pequeño,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-23,17,Viva Envigado,Cosecha Pequeño,1,105000,85000,Transferencia,Cosecha Pequeño,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-23,17,Viva Envigado,Dianthus coral,1,45000,40000,Datafono,,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-23,17,Viva Envigado,Dianthus coral,1,45000,45000,Datafono,,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-23,17,Viva Envigado,Dianthus coral,1,45000,45000,Transferencia,,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-23,17,Viva Envigado,Dianthus coral,1,45000,45000,Transferencia,,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-23,17,Viva Envigado,Dianthus coral,1,60000,60000,Transferencia,,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-23,17,Viva Envigado,Green ball y mini green,1,40000,40000,Transferencia,,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-23,17,Viva Envigado,Green ball y mini green,1,40000,40000,Transferencia,,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-24,17,Viva Envigado,Bocas de dragon,2,50000,100000,Datafono,Bocas de dragón (paquete),,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-24,17,Viva Envigado,Bouquet forever Dream pequeño,1,70000,70000,Transferencia,,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-24,17,Viva Envigado,Bouquet forever Dream pequeño,1,70000,70000,Datafono,,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-24,17,Viva Envigado,Bouquet petit,1,85000,85000,Datafono,,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-24,17,Viva Envigado,Bouquet petit,1,85000,85000,Transferencia,,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-24,17,Viva Envigado,Cosecha Pequeño,1,105000,100000,Transferencia,Cosecha Pequeño,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-24,17,Viva Envigado,Cosecha Pequeño,1,105000,105000,Datafono,Cosecha Pequeño,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-24,17,Viva Envigado,Edicion Especial Lisianthus,1,95000,95000,Datafono,Edicion Especial Lisianthus,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
2026-04-24,17,Viva Envigado,Edicion Especial Lisianthus,1,95000,95000,Efectivo,Edicion Especial Lisianthus,,"hojas de punto de venta, cuenta poscdreamscanbloom (Drive)"
