producto,unidades,tipo,grupos_detectados,tallos_en_nombre,precio,puntos,tallos_por_variedad_DICTAR,accion,confirmado
Edicion Especial Lisianthus,189,PAQUETE_1VAR,Lisianthus,,75000,Del Este | Jardines | Online | San Lucas | Tesoro | Viva Envigado,"Lisianthus 5 | Eucalipto de Angela 2 (comprado) | Silver 1 | ACOMPANANTE 3-5: Ammi o Trachelium o Celosia plumosa o ""Grimol""","Vanessa 2026-09-11. Nucleo fijo + UN acompanante que rota: ""todo depende de lo que este en cosecha"". El acompanante va como SUSTITUCION, que el motor ya maneja. Ammi 3-5 ""dependiendo lo grandes que son"". Eucalipto de Angela = 2 tallos (Vanessa 2026-09-11). PENDIENTE: que es ""un silbe"" (Silver Dollar comprado o Silver Dust / Dusty Miller propio); que es ""Grimol""",DICTADO 2026-09-11 — falta validar
Bouquet mamá de los sueños petit,165,BOUQUET,,,90000,Jardines | Online | Viva Envigado,,dictar receta completa,
Bocas de dragon y statice,108,MIXTO_2,Boca de Dragón | Statice,,45000,Del Este | Jardines | Online | San Lucas | Tesoro,,dictar el reparto entre 2 variedades,
Bouquet forever Dream pequeño,97,BOUQUET,,,85000,Del Este | Jardines | Online | San Lucas | Tesoro | Viva Envigado,,dictar receta completa,
Paquete lisianthus solo,93,PAQUETE_1VAR,Lisianthus,,50000,Del Este | Jardines | Online | San Lucas | Tesoro,Lisianthus 7,"Vanessa 2026-09-11: ""Lisianthus suele tener siete tallos, aproximadamente"". APROXIMADO",DICTADO 2026-09-11 — falta validar
Dusty miller con colitas de conejo,85,MIXTO_2,Colitas de conejo | Dusty Miller,,50000,Del Este | Jardines | Online | San Lucas | Tesoro,,dictar el reparto entre 2 variedades,
Bouquet mamá de los sueños grande,84,BOUQUET,,,180000,Online | Viva Envigado,,dictar receta completa,
Bouquet mamá de los sueños mediano,80,BOUQUET,,,130000,Del Este | Online | Viva Envigado,,dictar receta completa,
Paquete ammi majus,78,PAQUETE_1VAR,Ammi,,45000,Del Este | Jardines | Online | San Lucas | Tesoro,,dictar 1 numero: tallos por paquete,
Paquete celosias dream mix,76,PAQUETE_1VAR,Celosia,,50000,Del Este | Jardines | Online | San Lucas | Tesoro,TOTAL ~15 | Baby Blue o Eucalipto de Angela 3 (comprado) | Celosia Dreams (spicata) el resto | a veces Celosia plumosa 3,"Vanessa 2026-09-11: ""suele tener en total quince tallos, mas o menos... como tres tallos de baby blue o de eucalipto de Angela... dos detalles de celosias dreams, o a veces ha tenido por ahi unos tres de alguna plumosa, y lo demas de dreams"". Dreams = Celosia spicata (subtipos.csv). PENDIENTE: ""dos detalles de celosias dreams"" son 2 TALLOS o 2 VARIEDADES/colores",DICTADO 2026-09-11 — falta validar
